iteration,value_ns
1,598821
2,553012
3,561702
4,548240
5,623533
6,551291
7,658531
8,555410
9,561486
10,579107
11,531674
12,573655
13,548148
14,559154
15,549203
16,558354
17,546261
18,562772
19,549114
20,556967
21,580841
22,565887
23,549660
24,561891
25,677944
26,558938
27,550076
28,558390
29,575072
30,548456
31,557840
32,548005
33,559734
34,553049
35,560281
36,548474
37,567368
38,566713
39,559710
40,548327
41,584284
42,575703
43,669934
44,551165
45,559548
46,574474
47,564239
48,587612
49,561978
50,587631
51,533083
52,583288
53,581769
54,549365
55,567214
56,547200
57,559950
58,547906
59,565250
60,549846
61,560119
62,582415
63,551578
64,568366
65,548736
66,571600
67,549754
68,559152
69,547494
70,567427
71,591232
72,549399
73,559805
74,547803
75,557683
76,547652
77,559928
78,552253
79,559028
80,573882
81,547394
82,559019
83,549928
84,562551
85,549057
86,586173
87,548192
88,563064
89,550386
90,582547
91,554615
92,561956
93,552185
94,577227
95,572799
96,548927
97,558671
98,549381
99,560900
100,575820
101,549491
102,559970
103,563921
104,591361
105,550407
106,616161
107,551405
108,561307
109,550185
110,565050
111,550236
112,566899
113,547605
114,563519
115,572516
116,532107
117,572656
118,549594
119,559424
120,547716
121,567189
122,545683
123,560242
124,574568
125,531877
126,580544
127,550132
128,567884
129,549897
130,567944
131,548366
132,558654
133,573240
134,531118
135,572228
136,549631
137,559812
138,547487
139,568631
140,552271
141,555565
142,577574
143,559757
144,577106
145,550420
146,557694
147,547699
148,559110
149,550967
150,558483
151,575243
152,530637
153,575975
154,548968
155,559929
156,547527
157,555201
158,549841
159,564055
160,573428
161,533636
162,574505
163,548307
164,568553
165,548554
166,559566
167,580286
168,555588
169,575463
170,534011
171,571841
172,546117
173,557992
174,550146
175,559643
176,553694
177,564854
178,572305
179,532396
180,577058
181,544925
182,554796
183,553991
184,558681
185,546787
186,557730
187,577337
188,534688
189,558339
190,548380
191,559350
192,548233
193,557689
194,575264
195,531726
196,577926
197,549412
198,565924
199,549267
200,561477
201,547040
202,563339
203,574595
204,530277
205,574405
206,548949
207,558148
208,548811
209,564300
210,547900
211,561882
212,571866
213,531054
214,582055
215,551957
216,559090
217,547779
218,559188
219,549068
220,561317
221,580390
222,534459
223,580720
224,547651
225,559205
226,570076
227,559181
228,550406
229,556876
230,597194
231,548922
232,577992
233,548007
234,559330
235,547208
236,558774
237,547461
238,570893
239,574759
240,557882
241,559746
242,549904
243,556806
244,551886
245,567460
246,550623
247,570879
248,580383
249,547858
250,569320
251,547832
252,557441
253,548981
254,557911
255,575022
256,554240
257,574231
258,559217
259,565682
260,549309
261,587368
262,548804
263,572759
264,548817
265,588002
266,566087
267,558310
268,576449
269,530565
270,573162
271,549901
272,557889
273,549177
274,565031
275,546810
276,560628
277,550889
278,562513
279,585159
280,549324
281,557852
282,295300
283,313618
284,297487
285,296271
286,307740
287,337829
288,327476
289,295972
290,297021
291,325700
292,304290
293,334010
294,329987
295,308769
296,327778
297,329360
298,296800
299,333534
300,309655
301,316254
302,328387
303,322986
304,312913
305,325519
306,297432
307,296296
308,318515
309,325501
310,311648
311,296489
312,296254
313,307485
314,296912
315,313722
316,296727
317,295462
318,322132
319,310566
320,315565
321,294706
322,306190
323,305579
324,336261
325,326825
326,310297
327,295659
328,306924
329,307141
330,336734
331,333140
332,307361
333,296270
334,306414
335,319907
336,331314
337,295137
338,316003
339,330314
340,317335
341,313046
342,336090
343,294907
344,294679
345,306980
346,295931
347,333044
348,295911
349,294703
350,307749
351,335109
352,338458
353,295107
354,296073
355,307331
356,311458
357,333666
358,295458
359,319759
360,307341
361,295057
362,333547
363,295932
364,317787
365,308205
366,295995
367,332445
368,295862
369,296247
370,316798
371,326609
372,333888
373,331079
374,296241
375,305434
376,325062
377,312356
378,310094
379,294467
380,305593
381,303373
382,308840
383,297041
384,296074
385,305866
386,317176
387,312986
388,296776
389,296149
390,306518
391,339385
392,313921
393,294475
394,295541
395,317319
396,340946
397,316286
398,334858
399,314529
400,327660
401,342054
402,309899
403,316324
404,311202
405,315534
406,340662
407,325191
408,323558
409,312395
410,334571
411,295926
412,320843
413,321193
414,297257
415,314251
416,296605
417,317758
418,316386
419,307353
420,334137
421,309476
422,297039
423,306501
424,341328
425,333151
426,332918
427,295197
428,306150
429,338672
430,319122
431,311066
