iteration,value_ns
1,514499
2,508785
3,516373
4,530203
5,534541
6,562711
7,519832
8,539480
9,524553
10,553660
11,527304
12,540389
13,529147
14,571378
15,524999
16,545912
17,532248
18,508854
19,514037
20,535311
21,514041
22,514180
23,554293
24,529366
25,536054
26,556143
27,538667
28,515038
29,557723
30,535921
31,511219
32,514002
33,585466
34,521512
35,564310
36,567149
37,560777
38,506937
39,544937
40,509262
41,568059
42,577963
43,498470
44,572212
45,518827
46,540418
47,509001
48,513973
49,533728
50,530811
51,559076
52,498490
53,539176
54,530413
55,544125
56,507745
57,552843
58,526516
59,547705
60,529401
61,530211
62,548689
63,542301
64,560121
65,500596
66,513091
67,510024
68,512766
69,540424
70,538031
71,543396
72,508257
73,513893
74,528424
75,538335
76,543079
77,532026
78,511914
79,528970
80,550792
81,685207
82,526777
83,507073
84,515748
85,543020
86,557338
87,509758
88,545911
89,539669
90,554405
91,526483
92,540839
93,542468
94,519665
95,549528
96,548441
97,546983
98,535016
99,515265
100,509806
101,515831
102,511904
103,538714
104,557158
105,509904
106,515932
107,510843
108,516074
109,553634
110,542267
111,549818
112,520404
113,539478
114,539981
115,517923
116,523276
117,558004
118,533478
119,514269
120,570351
121,549838
122,544534
123,518980
124,555294
125,550499
126,536209
127,536551
128,531184
129,533556
130,566521
131,558882
132,552325
133,538363
134,516071
135,511934
136,525035
137,525190
138,537085
139,538488
140,509040
141,514845
142,510457
143,513803
144,570528
145,536467
146,550338
147,546191
148,517245
149,509158
150,513745
151,531722
152,533889
153,527908
154,517708
155,583278
156,531951
157,580318
158,528129
159,555147
160,533690
161,536716
162,543010
163,546744
164,508457
165,530664
166,555041
167,546086
168,565334
169,532279
170,566916
171,516953
172,583121
173,537657
174,596124
175,536415
176,565383
177,570586
178,537680
179,542997
180,509149
181,540684
182,562555
183,513991
184,511841
185,498785
186,544591
187,524682
188,516867
189,528546
190,536737
191,532058
192,534199
193,526474
194,542278
195,561763
196,567313
197,556816
198,524889
199,558015
200,532111
201,537312
202,527885
203,516226
204,528338
205,529520
206,567702
207,536402
208,567341
209,509316
210,513773
211,506515
212,533934
213,558528
214,519080
215,575592
216,525268
217,541678
218,507345
219,516147
220,510484
221,500135
222,514462
223,508349
224,549011
225,531303
226,547384
227,532703
228,514452
229,572833
230,518876
231,558558
232,554385
233,562082
234,519494
