iteration,value_ns
1,520006
2,535449
3,521640
4,657541
5,519904
6,529458
7,522923
8,538810
9,519296
10,537125
11,519038
12,527048
13,543885
14,519667
15,529140
16,518128
17,653359
18,518750
19,562118
20,522074
21,538342
22,520947
23,535876
24,519139
25,554630
26,543457
27,545047
28,518409
29,528083
30,548152
31,502942
32,567447
33,520028
34,571345
35,503706
36,546530
37,518860
38,547293
39,518478
40,529538
41,520503
42,547778
43,522858
44,536104
45,519348
46,667115
47,579473
48,531794
49,519853
50,2595286
51,519512
52,1105520
53,548867
54,517568
55,502560
56,547956
57,519656
58,532317
59,519758
60,536094
61,520525
62,536206
63,548518
64,502738
65,559354
66,519503
67,549171
68,520575
69,536043
70,521215
71,529715
72,519593
73,502588
74,541833
75,520757
76,535254
77,518705
78,545620
79,518925
80,529258
81,548476
82,502999
83,572067
84,545656
85,530977
86,519143
87,530240
88,2684067
89,882597
90,545777
91,518627
92,502505
93,546808
94,562688
95,520865
96,529792
97,520851
98,547938
99,518541
100,561648
101,518880
102,597852
103,572559
104,580418
105,519700
106,532714
107,565641
108,503935
109,2612019
110,521022
111,535818
112,518602
113,534339
114,518960
115,551993
116,519493
117,546932
118,542046
119,519212
120,532684
121,518486
122,544864
123,518682
124,543869
125,521304
126,503512
127,554536
128,521510
129,555383
130,520645
131,553681
132,523281
133,548321
134,521318
135,539513
136,544803
137,518783
138,539597
139,520843
140,526745
141,516806
142,582673
143,520134
144,534506
145,545281
146,503296
147,546147
148,520181
149,536817
150,518659
151,535629
152,517780
153,502841
154,552290
155,502956
156,528602
157,518359
158,550852
159,521209
160,528195
161,519046
162,502909
163,546974
164,519550
165,550888
166,516996
167,529658
168,517420
169,534694
170,530584
171,503269
172,543461
173,520300
174,548585
175,518959
176,541370
177,519418
178,559573
179,518811
180,528037
181,547237
182,519291
183,528550
184,518482
185,546550
186,518008
187,535535
188,517467
189,502617
190,540090
191,518592
192,528868
193,520332
194,537604
195,518873
196,548869
197,549440
198,502760
199,568060
200,519951
201,527177
202,518291
203,529934
204,518315
205,528664
206,551557
207,519706
208,549074
209,518658
210,552782
211,520021
212,525903
213,517506
214,503212
215,553083
216,517901
217,552791
218,519240
219,528605
220,518448
221,550374
222,519203
223,502925
224,558330
225,519307
226,533721
227,518938
228,532647
229,517475
230,528748
231,523518
232,502726
233,549882
234,520913
235,531141
236,519554
237,535423
238,519800
239,531481
240,547690
241,502890
242,557155
243,519673
244,530147
245,520683
246,551187
247,519709
248,527389
249,517622
250,502975
251,554082
252,519105
253,525792
254,518070
255,544246
256,518957
257,544639
258,545665
259,502656
260,557784
261,542716
262,579189
263,524331
264,535817
265,542845
266,559130
267,518846
268,528797
269,518590
270,529067
271,543083
272,519928
273,541873
274,518424
275,578870
276,520127
277,534744
278,519624
279,528149
280,545765
281,453304
282,279303
283,288526
284,297874
285,297325
286,288680
287,318906
288,306582
289,303284
290,295053
291,295170
292,279325
293,323333
294,279161
295,320096
296,319342
297,289041
298,279680
299,322963
300,290848
301,308115
302,312121
303,288503
304,289998
305,311066
306,322192
307,296707
308,316731
309,279506
310,290193
311,302219
312,294086
313,288492
314,279277
315,290213
316,292846
317,293212
318,297993
319,290745
320,289950
321,295570
322,305095
323,278909
324,322970
325,328773
326,296533
327,297489
328,288426
329,313619
330,339285
331,300889
332,309915
333,297522
334,279126
335,294090
336,289965
337,290117
338,296719
339,279179
340,289105
341,310786
342,310100
343,296782
344,305787
345,288523
346,289397
347,309273
348,295035
349,295540
350,279011
351,300950
352,308739
353,296279
354,295309
355,278946
356,290602
357,310279
358,319137
