iteration,value_ns
1,546906
2,522095
3,532515
4,559407
5,537214
6,569631
7,572684
8,504537
9,582634
10,525497
11,525987
12,531752
13,532822
14,534433
15,552341
16,536747
17,530639
18,549399
19,562258
20,549183
21,515273
22,548975
23,538313
24,520884
25,557566
26,531985
27,561903
28,533105
29,561249
30,531276
31,531439
32,515886
33,552177
34,572055
35,541810
36,535699
37,505953
38,544655
39,520932
40,524419
41,535997
42,557411
43,533844
44,551778
45,530437
46,503266
47,538891
48,531976
49,532275
50,556615
51,532833
52,588105
53,583243
54,569184
55,503789
56,522345
57,551070
58,548854
59,542512
60,536840
61,542688
62,578352
63,537369
64,539706
65,532751
66,514248
67,532723
68,539276
69,554190
70,536408
71,520380
72,532644
73,530560
74,574029
75,564863
76,558676
77,516151
78,521516
79,551981
80,523297
81,538747
82,528808
83,568943
84,515990
85,571387
86,566839
87,547950
88,543848
89,532570
90,538241
91,606807
92,534850
93,548817
94,569668
95,540855
96,569052
97,529053
98,549930
99,556853
100,532733
101,517666
102,531283
103,552845
104,541621
105,576518
106,518625
107,533899
108,537025
109,544529
110,536379
111,558055
112,534379
113,528445
114,551201
115,516441
116,542831
117,554824
118,523712
119,536419
120,575688
121,535510
122,550864
123,553783
124,538396
125,531387
126,526913
127,550947
128,547947
129,552507
130,580805
131,533813
132,576657
133,562706
134,515972
135,551477
136,516909
137,558874
138,552921
139,522533
140,570138
141,514916
142,544712
143,533763
144,576487
145,533813
146,534051
147,555053
148,530722
149,519684
150,514166
151,569004
152,540251
153,561737
154,535468
155,543878
156,563440
157,536635
158,558599
159,541025
160,551459
161,547712
162,596994
163,527967
164,548528
165,556127
166,553149
167,581180
168,583784
169,551114
170,557847
171,598942
172,548255
173,570102
174,572517
175,585608
176,583842
177,545238
178,568718
179,535352
180,523301
181,543695
182,562064
183,514270
184,533993
185,534603
186,504992
187,576555
188,517454
189,554137
190,569605
191,556954
192,580545
193,535167
194,554816
195,567027
196,539297
197,532631
198,579653
199,528795
200,561900
201,527642
202,534541
203,516979
204,520600
205,532064
206,553409
207,533888
208,520934
209,534402
210,513565
211,530092
212,555569
213,557054
214,538470
215,555896
216,551996
217,504109
218,521099
219,515299
220,520660
221,513782
222,503259
223,551598
224,553327
