iteration,value_ns
1,1118827
2,1088461
3,1083342
4,1205781
5,1143437
6,1080749
7,1181454
8,1094220
9,1080782
10,1116232
11,1050712
12,1100703
13,1092033
14,1078821
15,1078343
16,1076482
17,1199620
18,1081522
19,1111232
20,1079041
21,1119183
22,1086834
23,1085536
24,1081030
25,1232574
26,1102395
27,1095123
28,1076799
29,1103155
30,1096608
31,1060782
32,1115452
33,1079762
34,1124394
35,1063987
36,1095004
37,1086228
38,1114006
39,1078188
40,1077865
41,1104787
42,1123481
43,1192792
44,1087269
45,1078896
46,1241589
47,1143712
48,1119406
49,1081831
50,3182917
51,1052595
52,1688808
53,1130636
54,1066933
55,1069774
56,1095156
57,1079606
58,1080223
59,1085008
60,1085940
61,1080644
62,1118621
63,1100096
64,1071104
65,1108090
66,1091103
67,1098925
68,1079727
69,1083537
70,1088642
71,1120947
72,1068992
73,1062393
74,1089636
75,1078440
76,1082906
77,1078633
78,1097873
79,1077953
80,1103140
81,1095870
82,1062018
83,1121995
84,1108207
85,1080034
86,1105316
87,1078432
88,3247131
89,1432983
90,1128324
91,1073242
92,1064461
93,1098993
94,1139915
95,1093664
96,1078719
97,1079522
98,1097319
99,1079441
100,1137468
101,1068371
102,1157822
103,1136480
104,1171779
105,1070107
106,1148875
107,1117046
108,1065242
109,3162204
110,1086072
111,1086054
112,1085501
113,1081944
114,1082479
115,1124509
116,1051600
117,1119588
118,1091640
119,1078636
120,1080400
121,1085675
122,1090547
123,1078924
124,1118437
125,1053181
126,1084056
127,1104668
128,1089394
129,1105280
130,1088589
131,1102047
132,1081935
133,1121561
134,1052436
135,1111741
136,1094434
137,1078595
138,1087084
139,1089474
140,1079016
141,1072371
142,1160247
143,1079891
144,1111612
145,1095701
146,1060990
147,1093846
148,1079291
149,1087784
150,1077142
151,1110872
152,1048417
153,1078816
154,1101258
155,1062885
156,1076129
157,1073560
158,1100693
159,1085264
160,1101623
161,1052682
162,1077414
163,1095281
164,1088103
165,1099442
166,1076562
167,1109944
168,1073008
169,1110157
170,1064595
171,1075110
172,1089578
173,1078292
174,1098731
175,1078602
176,1095064
177,1084272
178,1131878
179,1051207
180,1105095
181,1092162
182,1074087
183,1082541
184,1077163
185,1093337
186,1075738
187,1112872
188,1052155
189,1060956
190,1088470
191,1077942
192,1077101
193,1078021
194,1112868
195,1050599
196,1126795
197,1098852
198,1068684
199,1117327
200,1081428
201,1074217
202,1081630
203,1104529
204,1048592
205,1103069
206,1100506
207,1077854
208,1097885
209,1082958
210,1100682
211,1081903
212,1097769
213,1048560
214,1085267
215,1105040
216,1076991
217,1100570
218,1078428
219,1077673
220,1079765
221,1130764
222,1053662
223,1083645
224,1105981
225,1078512
226,1103797
227,1078119
228,1083053
229,1074351
230,1125942
231,1072440
232,1080718
233,1097889
234,1080243
235,1078349
236,1078328
237,1082884
238,1090693
239,1106240
240,1105572
241,1062636
242,1107059
243,1076479
244,1082033
245,1088143
246,1101810
247,1090588
248,1107772
249,1065480
250,1072295
251,1101914
252,1076546
253,1074773
254,1075981
255,1119268
256,1073197
257,1118870
258,1104882
259,1068338
260,1107093
261,1130084
262,1127993
263,1097090
264,1084634
265,1130847
266,1125217
267,1077156
268,1105246
269,1049155
270,1102229
271,1092984
272,1077817
273,1091050
274,1083455
275,1125680
276,1080755
277,1085633
278,1082137
279,1113308
280,1095089
281,1011156
282,574603
283,602144
284,595361
285,593596
286,596420
287,656735
288,634058
289,599256
290,592074
291,620870
292,583615
293,657343
294,609148
295,628865
296,647120
297,618401
298,576480
299,656497
300,600503
301,624369
302,640508
303,611489
304,602911
305,636585
306,619624
307,593003
308,635246
309,605007
310,601841
311,598708
312,590340
313,595977
314,576189
315,603935
316,589573
317,588674
318,620125
319,601311
320,605515
321,590276
322,611285
323,584488
324,659231
325,655598
326,606830
327,593148
328,595350
329,620760
330,676019
331,634029
332,617276
333,593792
334,585540
335,613997
336,621279
337,585254
338,612722
339,609493
340,606440
341,623832
342,646190
343,591689
344,600466
345,595503
346,585328
347,642317
348,590946
349,590243
350,586760
351,636059
352,647197
353,591386
354,591382
355,586277
356,602060
357,643945
358,614595
359,614565
360,586561
361,584031
362,643808
363,612077
364,613287
365,587294
366,588670
367,621556
368,621202
369,618252
370,608681
371,605548
372,633619
373,640707
374,593762
375,615969
376,604292
377,600465
378,597889
379,587522
380,584724
381,582663
382,597354
383,577015
384,591306
385,584938
386,620020
387,601267
388,592156
389,591283
390,585486
391,642753
392,603897
393,610541
394,611082
395,616529
396,630691
397,605255
398,629938
399,610601
400,679066
401,649160
402,622986
403,624699
404,590271
405,635332
406,651074
