iteration,value_ns
1,1061405
2,1030880
3,1048888
4,1089610
5,1071755
6,1132342
7,1092516
8,1044017
9,1107187
10,1079157
11,1053291
12,1072141
13,1061969
14,1105811
15,1077340
16,1082659
17,1062887
18,1058253
19,1076295
20,1084494
21,1029314
22,1063155
23,1092606
24,1050250
25,1093620
26,1088128
27,1100570
28,1048143
29,1118972
30,1067197
31,1042658
32,1029888
33,1137643
34,1093567
35,1106120
36,1102848
37,1066730
38,1051592
39,1065869
40,1033681
41,1104056
42,1135374
43,1032314
44,1123990
45,1049264
46,1043684
47,1047892
48,1045949
49,1066003
50,1087426
51,1091909
52,1086595
53,1122419
54,1099597
55,1047914
56,1030090
57,1103913
58,1075370
59,1090217
60,1066241
61,1072899
62,1127041
63,1079670
64,1099827
65,1033347
66,1027339
67,1042747
68,1052042
69,1094614
70,1074439
71,1063776
72,1040901
73,1044453
74,1102453
75,1103198
76,1101755
77,1048177
78,1033430
79,1080951
80,1074089
81,1223954
82,1055585
83,1076016
84,1031738
85,1114407
86,1124177
87,1057708
88,1089759
89,1072239
90,1092646
91,1133290
92,1075689
93,1091285
94,1089333
95,1090383
96,1117493
97,1076036
98,1084946
99,1072118
100,1042539
101,1033497
102,1043187
103,1091559
104,1098779
105,1086422
106,1034557
107,1044742
108,1053099
109,1098163
110,1078646
111,1107873
112,1054783
113,1067923
114,1091182
115,1034364
116,1066107
117,1112828
118,1057190
119,1050688
120,1146039
121,1085348
122,1095398
123,1072763
124,1093690
125,1081886
126,1063122
127,1087498
128,1079131
129,1086063
130,1147326
131,1092695
132,1128982
133,1101069
134,1032043
135,1063411
136,1041944
137,1084064
138,1090006
139,1061021
140,1079178
141,1029761
142,1055169
143,1047566
144,1147015
145,1070280
146,1084389
147,1101244
148,1047967
149,1028842
150,1027911
151,1100726
152,1074140
153,1089645
154,1053176
155,1127156
156,1095391
157,1116953
158,1086728
159,1096172
160,1085149
161,1084428
162,1140004
163,1074711
164,1056985
165,1086791
166,1108190
167,1127266
168,1149118
169,1083393
170,1124763
171,1115895
172,1131376
173,1107759
174,1168641
175,1122023
176,1149225
177,1115824
178,1106398
179,1078349
180,1032450
181,1084379
182,1124619
183,1028261
184,1045834
185,1033388
186,1049583
187,1101237
188,1034321
189,1082683
190,1106342
191,1089012
192,1114744
193,1061641
194,1097094
195,1128790
196,1106610
197,1089447
198,1104542
199,1086810
200,1094011
201,1064954
202,1062426
203,1033205
204,1048938
205,1061584
206,1121111
207,1070290
208,1088275
209,1043718
210,1027338
211,1036607
212,1089503
213,1115582
214,1057550
215,1131488
216,1077264
217,1045787
218,1028444
219,1031446
220,1031144
221,1013917
222,1017721
223,1059947
224,1102338
225,1085541
226,1097132
227,1089745
228,1029886
229,1127248
230,1076804
231,1126413
232,1091581
233,1122111
234,1055078
235,1105476
236,1105428
237,1022732
238,1028586
239,1026768
240,1069112
241,1090530
242,1109817
243,1031317
244,1032332
245,1035743
246,1031878
247,1093246
248,1055708
249,1100408
250,1097070
251,1038734
252,1036122
253,1031121
254,1034781
255,1014321
256,1022020
257,1209338
258,1020707
259,1084879
260,1079033
261,1115059
262,1044313
263,1062220
264,1093306
265,1098641
266,1075463
267,1266786
268,1072098
269,1067939
270,1051874
271,1070676
272,1046357
273,1072793
274,1090382
275,1072136
276,1097749
277,1050232
278,1047076
279,1060039
280,1069090
281,1089752
282,1071371
283,1112270
284,1031651
285,1081405
286,1049376
287,1072544
288,1074034
289,1028659
290,1045765
291,1066924
292,1032492
293,1039925
294,1070968
295,1092295
296,1093249
297,1108701
298,1106970
299,1075366
300,1101439
301,1141989
302,1092466
303,1095545
304,1093138
305,1097661
306,1157827
307,1071969
308,1085237
309,1114296
310,1097423
311,1071804
312,1013734
313,1029818
314,1114722
315,1083580
316,1072580
317,1089363
318,1040885
319,1051250
320,1100924
321,1032502
322,1031894
323,1052817
324,1039616
325,1072893
326,1032673
327,1040566
328,1071263
329,1077984
330,1081388
331,1071135
332,1051985
333,1035550
334,1127379
335,1053963
336,1019875
337,1072221
338,1028806
339,1046537
340,1071198
341,1091598
342,1030942
343,1054658
344,1060975
345,1091563
346,1071982
347,1079441
348,1063644
349,1026856
350,1027229
351,1081602
352,1087117
353,1117000
354,1033305
355,1094759
356,1107923
357,1038545
358,1052147
359,1120006
360,1060757
361,1030433
362,1080772
363,1085445
364,1062054
365,1070625
366,1033378
367,1033770
368,1036122
369,1037450
370,1069186
371,1048220
372,1070975
373,1085942
374,1099790
375,1111129
376,1040566
377,1039253
378,1065938
379,1033633
380,1072335
381,1035856
382,1030715
383,1030973
384,1038070
385,1037396
386,1085509
387,1094224
388,1091494
389,1068526
390,1092005
391,1030964
392,1058192
393,1100182
394,1077651
395,1070880
