iteration,value_ns
1,500718
2,545008
3,526944
4,512005
5,522014
6,510787
7,519179
8,520001
9,517565
10,519798
11,515119
12,513524
13,518018
14,520216
15,516593
16,509232
17,513934
18,527760
19,513093
20,506866
21,513699
22,507769
23,513680
24,515773
25,520626
26,507331
27,523107
28,497800
29,524793
30,507113
31,531125
32,498463
33,524023
34,498787
35,524102
36,512767
37,516741
38,512784
39,506792
40,513526
41,522224
42,551449
43,518679
44,523437
45,508815
46,515993
47,545737
48,539079
49,508116
50,513703
51,534896
52,525804
53,538076
54,564470
55,497501
56,534632
57,513733
58,518194
59,531262
60,509031
61,551842
62,532437
63,560333
64,537574
65,560856
66,535925
67,567962
68,517743
69,546005
70,517901
71,547887
72,542197
73,528905
74,551361
75,535400
76,541803
77,538106
78,535719
79,561702
80,537011
81,499510
82,522727
83,506509
84,522865
85,501067
86,535555
87,512856
88,519035
89,531745
90,531159
91,565424
92,546924
93,520384
94,550466
95,531519
96,549247
97,529582
98,510534
99,539766
100,499640
101,564406
102,516049
103,522003
104,547303
105,542093
106,508162
107,535950
108,511607
109,557623
110,514590
111,548839
112,497538
113,532821
114,495135
115,683574
116,513875
117,515548
118,508979
119,551989
120,545213
121,509398
122,549638
123,531584
124,497580
125,530713
126,558685
127,496731
128,530807
129,531252
130,480365
131,502638
132,479769
133,493911
134,489759
135,494885
136,510194
137,526603
138,480875
139,529747
140,517945
141,526888
142,497188
143,538337
144,518668
145,583106
146,513709
147,520730
148,525040
149,536832
150,521352
151,552396
152,545327
153,561032
154,546155
155,500058
156,528695
157,546353
158,525512
159,522196
160,510210
161,530798
162,530984
163,536547
164,544740
165,509952
166,538284
167,514837
168,549204
169,532289
170,571060
171,520901
172,520002
173,543705
174,540829
175,556988
176,522037
177,511684
178,537652
179,531356
180,528338
181,547946
182,522950
183,530479
184,494844
185,526568
186,504186
187,535922
188,523282
189,500817
190,534640
191,499141
192,527682
193,498391
194,563678
195,539625
196,510126
197,550639
198,534588
199,516152
200,543998
201,519658
202,566287
203,514047
204,555693
205,537247
206,537098
207,538594
208,542588
209,530506
210,536221
211,520086
212,508279
213,513698
214,510710
215,526143
216,507022
217,525606
218,522026
219,563872
220,534724
221,522165
222,553206
223,479023
224,507001
225,489570
226,507521
227,479134
228,545463
229,478921
230,509561
231,478806
232,505661
233,479481
234,506201
235,541305
236,529537
237,550270
