iteration,value_ns
1,554693
2,567627
3,573830
4,564047
5,562503
6,542953
7,588949
8,523347
9,576509
10,566519
11,554007
12,546414
13,551550
14,563199
15,525078
16,552851
17,524717
18,550986
19,559267
20,537083
21,556885
22,541632
23,544758
24,540797
25,570191
26,526442
27,562048
28,530299
29,551880
30,562077
31,535141
32,553262
33,561443
34,541791
35,547022
36,562875
37,523475
38,574065
39,525846
40,552158
41,563960
42,559601
43,537172
44,545089
45,550326
46,545841
47,561920
48,528250
49,563761
50,569422
51,543516
52,564393
53,555584
54,516195
55,529399
56,525665
57,536518
58,526685
59,532936
60,516902
61,521600
62,517557
63,532964
64,514403
65,534827
66,505637
67,549552
68,504816
69,541492
70,534553
71,540129
72,542090
73,549269
74,539796
75,551888
76,526429
77,525788
78,523136
79,535395
80,550893
81,514368
82,540049
83,538142
84,516333
85,523178
86,521395
87,527107
88,516470
89,522674
90,517292
91,523635
92,527245
93,527430
94,528058
95,527113
96,515768
97,527118
98,517878
99,565505
100,515552
101,542728
102,532061
103,525540
104,521445
105,529486
106,522808
107,517027
108,523170
109,524968
110,530313
111,516844
112,536341
113,515473
114,525792
115,515957
116,526702
117,515299
118,532396
119,505162
120,549840
121,504356
122,548578
123,521905
124,531743
125,523856
126,517433
127,526628
128,515942
129,533239
130,527422
131,523127
132,526039
133,542232
134,516076
135,540814
136,515968
137,560832
138,505190
139,555486
140,527795
141,515900
142,523258
143,540553
144,543725
145,526241
146,528541
147,526828
148,554162
149,517214
150,524503
151,531153
152,536638
153,515107
154,543399
155,505101
156,557224
157,521998
158,524099
159,520181
160,516134
161,522662
162,516413
163,522925
164,527560
165,522916
166,515592
167,531280
168,554984
169,539571
170,553722
171,560618
172,541483
173,516441
174,543298
175,538143
176,543395
177,526266
178,523816
179,525590
180,528303
181,515291
182,528157
183,525211
184,548062
185,514801
186,539637
187,524070
188,540005
189,522830
190,516696
191,534685
192,553797
193,539310
194,527222
195,527780
196,525102
197,539069
198,515684
199,522820
200,554452
201,548840
202,535840
203,592188
204,548010
205,547913
206,554993
207,526276
208,523638
209,562755
210,533486
211,552492
212,539608
213,504521
214,550614
215,555044
216,516852
217,523493
218,526570
219,523219
220,516411
221,556979
222,517555
223,527112
224,525515
225,537330
226,517998
227,534581
228,514511
229,534197
230,505323
231,537845
232,525979
233,517246
234,535076
235,522078
236,521623
237,517345
238,521919
239,523376
240,529468
241,514811
242,519832
243,514929
244,522481
245,517036
246,522601
247,516147
248,535472
249,526179
250,532815
251,504757
252,539680
253,521468
254,518020
255,526830
256,514726
257,521400
258,526234
259,522018
260,516149
261,529042
262,525629
263,532522
264,543789
