iteration,value_ns
1,21620
2,20735
3,20552
4,20513
5,20503
6,32439
7,20575
8,20620
9,20603
10,20458
11,20461
12,20476
13,20475
14,20341
15,19848
16,19791
17,19790
18,19874
19,20000
20,19899
21,19819
22,19803
23,19788
24,19837
25,19730
26,20609
27,38781
28,33741
29,21569
30,33395
31,20733
32,20918
33,20564
34,20625
35,20525
36,20573
37,20516
38,20539
39,19978
40,21106
41,20632
42,20561
43,20573
44,29028
45,20623
46,20494
47,20570
48,20623
49,20544
50,20649
51,20628
52,20677
53,20993
54,20689
55,20676
56,20575
57,19960
58,20764
59,20560
60,20540
61,20693
62,19912
63,19746
64,19810
65,19797
66,20196
67,19893
68,19775
69,19860
70,19738
71,20017
72,19831
73,19741
74,19845
75,19788
76,19882
77,20860
78,20575
79,39943
80,20809
81,20644
82,20639
83,20565
84,30469
85,20594
86,20625
87,20566
88,19928
89,20797
90,20542
91,20527
92,20504
93,20880
94,32446
95,20778
96,20588
97,20809
98,20574
99,20593
100,20500
101,20559
102,20567
103,20501
104,20511
105,39234
106,20765
107,20565
108,20586
109,20648
110,30009
111,20678
112,32568
113,19882
114,19740
115,19829
116,19825
117,19717
118,19818
119,20344
120,19845
121,19763
122,19774
123,19806
124,19993
125,19918
126,19814
127,19749
128,19745
129,19874
130,19802
131,19760
132,36424
133,20058
134,19832
135,19883
136,19806
137,19870
138,19975
139,19948
140,20640
141,20513
142,20541
143,20491
144,20574
145,19935
146,21467
147,20640
148,20582
149,20587
150,20592
151,20123
152,19801
153,19824
154,19901
155,19825
156,19735
157,19873
158,19762
159,20513
160,19815
161,19789
162,19850
163,19873
164,52018
165,19984
166,32479
167,20642
168,20580
169,20558
170,20539
171,32638
172,38730
173,20040
174,19962
175,19854
176,19796
177,29331
178,19916
179,20704
180,20507
181,20589
182,20523
183,20570
184,32163
185,19803
186,20209
187,19817
188,19866
189,19745
190,19779
191,19919
192,19883
193,19792
194,19774
195,19826
196,20726
197,20608
198,20591
199,21249
200,20704
201,19888
202,19920
203,20685
204,20658
205,20572
206,20623
207,20478
208,20500
209,20512
210,20558
211,20606
212,33195
213,20006
214,19792
215,19887
216,19891
217,20345
218,19815
219,19936
220,19763
221,19741
222,19901
223,19768
224,19733
225,38866
226,20017
227,19941
228,19817
229,19873
230,19856
231,19942
232,19850
233,19857
234,19794
235,19751
236,19769
237,20795
238,20536
239,36462
240,20896
241,20586
242,20724
243,20526
244,20593
245,32071
246,19935
247,19799
248,20639
249,20538
250,21015
251,20564
252,20592
253,20579
254,20697
255,20789
256,20494
257,20631
258,20535
259,20556
260,20541
261,20558
262,20541
263,20971
264,19798
265,19760
266,19909
267,19781
268,19830
269,19832
270,19741
271,19759
272,19861
273,19862
274,21099
275,19949
276,19814
277,19851
278,19815
279,19816
280,19888
281,19888
282,19770
283,19822
284,19746
285,19729
286,19749
287,19731
288,20207
289,19897
290,19861
291,19835
292,19790
293,29381
294,20823
295,20640
296,20614
297,20521
298,19875
299,19766
300,19914
301,19762
302,20917
303,20597
304,20584
305,20668
306,30500
307,20637
308,20574
309,20560
310,20017
311,19879
312,19827
313,19829
314,19946
315,33163
316,20749
317,20567
318,20541
319,30685
320,20669
321,20677
322,20606
323,20601
324,20569
325,20585
326,20566
327,20566
328,20960
329,20584
330,20574
331,20544
332,20659
333,19965
334,19819
335,19764
336,19721
337,19830
338,19760
339,19827
340,19717
341,20269
342,19936
343,20037
344,19853
345,19808
346,29596
347,19896
348,20719
349,20658
350,20502
351,20526
352,20543
353,20533
354,38558
355,20286
356,19910
357,19766
358,19725
359,27823
360,19872
361,19805
362,19846
363,19862
364,19871
365,19827
366,19753
367,19737
368,20221
369,19922
370,19912
371,19860
372,19745
373,28689
374,19826
375,19902
376,19800
377,19888
378,19854
379,19784
380,19747
381,33084
382,20997
383,20613
384,20655
385,20676
386,20618
387,20679
388,20633
389,20616
390,20538
391,20516
392,20624
393,20623
394,19885
395,20466
396,19818
397,24078
398,20886
399,20633
400,20613
401,132602
402,21080
403,20694
404,20560
405,20652
406,32786
407,20714
408,20585
409,19913
410,19882
411,19779
412,19828
413,19914
414,19832
415,20169
416,19834
417,20635
418,20544
419,20546
420,20645
421,32675
422,19864
423,19861
424,19815
425,19821
426,19776
427,19938
428,20226
429,19858
430,19821
431,19759
432,19909
433,20042
434,19847
435,19782
436,19792
437,33066
438,20630
439,20508
440,20510
441,41171
442,20112
443,19861
444,20809
445,20543
446,20870
447,20671
448,20612
449,20055
450,20675
451,20543
452,20559
453,20583
454,21600
455,20628
456,20540
457,20623
458,20587
459,20722
460,20651
461,20574
462,20601
463,20698
464,20608
465,32176
466,20547
467,20948
468,20624
469,20610
470,19970
471,29770
472,33012
473,20584
474,20574
475,20531
476,20713
477,20583
478,20702
479,20574
480,20900
481,20643
482,20637
483,20594
484,20599
485,20880
486,20564
487,20529
488,20521
489,20609
490,19891
491,19848
492,19760
493,20299
494,20735
495,20752
496,20594
497,20631
498,20701
499,20584
500,20520
501,20603
502,19839
503,19876
504,19834
505,19826
506,20155
507,19877
508,19806
509,20586
510,20573
511,20699
512,20723
513,20553
514,32897
515,19805
516,19800
517,20778
518,20591
519,21191
520,20658
521,20669
522,19906
523,32162
524,20813
525,20677
526,20582
527,20528
528,20513
529,20508
530,20523
531,20643
532,20191
533,19901
534,19829
535,19821
536,19841
537,19959
538,19938
539,19792
540,19784
541,19792
542,19782
543,19876
544,19773
545,42935
546,20071
547,19995
548,19890
549,19904
550,19774
551,20011
552,19769
553,19802
554,19773
555,19870
556,19867
557,19727
558,19746
559,20880
560,19938
561,19922
562,19886
563,19877
564,28445
565,20777
566,20566
567,20612
568,22963
569,32407
570,20664
571,43663
572,20770
573,20563
574,20496
575,20516
576,20820
577,19901
578,19929
579,19877
580,19835
581,19781
582,20736
583,20585
584,40590
585,20811
586,20573
587,20604
588,20601
589,21060
590,20542
591,20477
592,20492
593,20600
594,20518
595,20013
596,19741
597,38330
598,19989
599,19815
600,19810
601,19806
602,19795
603,19948
604,19901
605,19770
606,19815
607,19825
608,19757
609,19741
610,19723
611,20883
612,19887
613,19917
614,19886
615,19814
616,29803
617,19898
618,19785
619,19755
620,19725
621,19724
622,19739
623,20766
624,20598
625,21040
626,20587
627,20554
628,19874
629,19798
630,19949
631,19911
632,19839
633,19775
634,19744
635,19732
636,19770
637,19714
638,20849
639,19965
640,19748
641,32322
642,20636
643,33049
644,20690
645,20543
646,32050
647,19855
648,19776
649,19755
650,19874
651,19853
652,20185
653,20969
654,20658
655,20592
656,30232
657,20670
658,19887
659,19791
660,19779
661,19733
662,19738
663,19678
664,19750
665,20262
666,19778
667,19770
668,32732
669,20637
670,20716
671,20511
672,20552
673,20065
674,19760
675,19753
676,19731
677,20583
678,21309
679,20611
680,20661
681,20606
682,20712
683,20740
684,20554
685,20667
686,20618
687,20560
688,19824
689,19718
690,19873
691,20994
692,19939
693,19869
694,19783
695,19927
696,43478
697,20753
698,20628
699,20494
700,20498
701,20480
702,20484
703,20478
704,43585
705,20762
706,20643
707,32516
708,19792
709,29366
710,19902
711,20638
712,20655
713,20479
714,20465
715,20569
716,20458
717,20536
718,20877
719,20684
720,20609
721,20588
722,20672
723,20783
724,20571
725,20526
726,20014
727,19728
728,19946
729,19893
730,19772
731,21041
732,20617
733,20513
734,20560
735,20567
736,20709
737,20531
738,20501
739,20550
740,20495
741,20535
742,20624
743,20540
744,20235
745,19923
746,19868
747,19826
748,19915
749,19934
750,19851
751,19892
752,19822
753,19812
754,19743
755,19790
756,19796
757,35369
758,20074
759,19808
760,19754
761,19826
762,19914
763,19942
764,20809
765,20616
766,20588
767,20603
768,20540
769,20643
770,20521
771,21455
772,32763
773,19912
774,19856
775,19766
776,21015
777,20530
778,20498
779,20616
780,20661
781,19864
782,20727
783,20877
784,20572
785,20577
786,33033
787,30885
788,33357
789,20668
790,20514
791,20602
792,20543
793,20486
794,20535
795,20505
796,20908
797,20638
798,20584
799,20599
800,20677
801,20705
802,20628
803,20537
804,20476
805,20533
806,20652
807,20506
808,20521
809,21096
810,20634
811,20605
812,20491
813,20523
814,20745
815,20701
816,20585
817,32596
818,19799
819,20729
820,20570
821,20547
822,21152
823,20778
824,19883
825,19945
826,20657
827,20675
828,20600
829,20552
830,20530
831,20021
832,19776
833,19806
834,19750
835,20286
836,19831
837,20966
838,20630
839,20681
840,20625
841,20659
842,20057
843,19870
844,19821
845,19777
846,19915
847,19752
848,20858
849,19890
850,19893
851,19833
852,19794
853,30675
854,19934
855,19783
856,19747
857,19890
858,19836
859,19807
860,19821
861,19848
862,20152
863,19878
864,19816
865,19788
866,19856
867,20203
868,19790
869,19713
870,19707
871,19723
872,19811
873,19853
874,19845
875,19777
876,20151
877,19829
878,19873
879,19887
880,19864
881,20056
882,19811
883,19768
884,19777
885,19756
886,19763
887,19861
888,19827
889,19795
890,20161
891,19802
892,19920
893,19761
894,19884
895,19965
896,19801
897,19847
898,19765
899,19800
900,19808
901,19734
902,19870
903,35611
904,19998
905,19805
906,19731
907,19798
908,19783
909,19997
910,19864
911,19802
912,21003
913,20589
914,20580
915,20609
916,20515
917,21593
918,20666
919,32598
920,19896
921,19763
922,19957
923,19933
924,19917
925,19854
926,19832
927,19802
928,19883
929,19798
930,19773
931,20455
932,19974
933,19822
934,19762
935,19832
936,20841
937,20626
938,20516
939,20553
940,20500
941,20530
942,20557
943,20467
944,99456
945,20129
946,19879
947,19814
948,20039
949,19850
950,19797
951,19745
952,20895
953,20600
954,20592
955,20591
956,21004
957,19925
958,19832
959,19783
960,19867
961,19932
962,19740
963,19904
964,19882
965,20666
966,20565
967,20509
968,20495
969,21336
970,20613
971,20647
972,20586
973,20558
974,20786
975,20580
976,19981
977,19800
978,19866
979,19813
980,19854
981,19899
982,37475
983,20028
984,19988
985,19779
986,19845
987,30869
988,22251
989,21387
990,21505
991,34419
992,20594
993,20691
994,21059
995,20775
996,20565
997,20497
998,20682
999,20757
1000,20546
