iteration,value_ns
1,52095
2,52161
3,52242
4,52474
5,52349
6,64445
7,50531
8,50416
9,50394
10,50484
11,50641
12,50379
13,50323
14,50536
15,50454
16,50437
17,50376
18,50299
19,83262
20,52724
21,52500
22,52450
23,52340
24,59951
25,50468
26,50403
27,51100
28,50400
29,50349
30,50236
31,50210
32,69009
33,50947
34,51202
35,50406
36,51149
37,50360
38,50611
39,63695
40,52388
41,53157
42,52422
43,52285
44,52383
45,52303
46,53559
47,52246
48,52257
49,52248
50,53616
51,52515
52,50591
53,50350
54,50521
55,50299
56,51071
57,50363
58,50485
59,82464
60,52684
61,52462
62,52354
63,52420
64,61139
65,63733
66,50480
67,52664
68,52175
69,52440
70,52208
71,52182
72,73912
73,63066
74,50522
75,50534
76,50346
77,50950
78,50432
79,64633
80,52291
81,53187
82,52324
83,52227
84,52121
85,70320
86,64800
87,50360
88,50555
89,50409
90,58813
91,50363
92,50498
93,50435
94,50381
95,50306
96,51148
97,50386
98,69023
99,50845
100,50450
101,50467
102,50450
103,161234
104,52916
105,52514
106,52547
107,52233
108,52311
109,52514
110,74439
111,52818
112,52405
113,51440
114,50478
115,63443
116,52503
117,52506
118,52466
119,52401
120,52301
121,52247
122,52406
123,72210
124,52893
125,52453
126,52340
127,52375
128,62096
129,52507
130,52445
131,52310
132,63683
133,50477
134,50365
135,50293
136,50312
137,50979
138,50672
139,50465
140,50450
141,50428
142,50643
143,50327
144,50319
145,50349
146,50353
147,50562
148,50454
149,50248
150,66138
151,50635
152,50428
153,50560
154,50561
155,58837
156,52789
157,52383
158,52465
159,52374
160,52387
161,52289
162,52399
163,52483
164,53137
165,52478
166,52366
167,52243
168,60073
169,50711
170,50410
171,50288
172,50457
173,50391
174,50328
175,50401
176,50320
177,67740
178,50764
179,50494
180,51101
181,50446
182,59969
183,50478
184,50515
185,50547
186,50562
187,50331
188,50240
189,50258
190,50179
191,50974
192,51185
193,50425
194,51169
195,63289
196,52693
197,52310
198,52381
199,53249
200,52314
201,52302
202,52294
203,53157
204,67956
205,50630
206,50400
207,50496
208,50462
209,74320
210,52557
211,52506
212,53104
213,52346
214,63496
215,50370
216,52315
217,71722
218,52611
219,52547
220,52399
221,50477
222,65544
223,52541
224,52335
225,52342
226,63140
227,50429
228,50279
229,50449
230,620677
231,64599
232,50494
233,50596
234,50563
235,71096
236,50888
237,51114
238,50358
239,50348
240,50357
241,52950
242,52456
243,52236
244,52471
245,63286
246,50395
247,50581
248,50347
249,51639
250,50650
251,50467
252,50328
253,50310
254,64905
255,52543
256,52354
257,52131
258,52344
259,52283
260,52366
261,53069
262,78218
263,52623
264,52424
265,52342
266,52296
267,52600
268,52453
269,52253
270,53134
271,54208
