iteration,value_ns
1,14171
2,14138
3,14147
4,14127
5,30386
6,14501
7,14244
8,14170
9,14188
10,14193
11,14172
12,14406
13,14167
14,14138
15,14107
16,14192
17,14122
18,14160
19,14158
20,14112
21,14188
22,31648
23,14483
24,14240
25,14161
26,14227
27,14164
28,14133
29,14429
30,14140
31,14173
32,14129
33,14129
34,14122
35,14268
36,14128
37,14044
38,14084
39,30418
40,14411
41,14192
42,14164
43,14123
44,14179
45,14226
46,14461
47,14163
48,14247
49,14223
50,14148
51,14136
52,14143
53,14234
54,14136
55,14197
56,30213
57,14469
58,14222
59,14171
60,14218
61,14206
62,14315
63,14298
64,14122
65,14251
66,14133
67,14193
68,14193
69,14136
70,14179
71,14117
72,14144
73,29872
74,14400
75,14206
76,14199
77,14176
78,14189
79,14177
80,14367
81,14125
82,14176
83,14070
84,14088
85,14085
86,14160
87,14083
88,14082
89,14089
90,29888
91,14605
92,14158
93,14106
94,14141
95,14147
96,14112
97,14338
98,14160
99,14194
100,14109
101,14155
102,14158
103,14086
104,14086
105,14177
106,14109
107,30237
108,14445
109,14240
110,14240
111,14176
112,14180
113,14149
114,14348
115,14097
116,14154
117,14213
118,14122
119,14118
120,14128
121,14114
122,14111
123,14112
124,99506
125,14595
126,14308
127,14147
128,14147
129,14172
130,14568
131,14216
132,14149
133,14193
134,14155
135,14104
136,14153
137,14085
138,14117
139,14084
140,14768
141,14233
142,14208
143,14139
144,14184
145,14156
146,23175
147,14315
148,14192
149,14186
150,14111
151,14122
152,14135
153,14077
154,14083
155,14087
156,14091
157,14718
158,14151
159,14176
160,14167
161,14142
162,14171
163,23351
164,14270
165,14126
166,14187
167,14127
168,14109
169,14139
170,14087
171,14150
172,14115
173,14126
174,14657
175,14283
176,14179
177,14201
178,14157
179,14178
180,23515
181,14361
182,14170
183,14120
184,14129
185,14173
186,14152
187,14156
188,14122
189,14113
190,14074
191,14680
192,14268
193,14221
194,14178
195,14182
196,14158
197,23149
198,14334
199,14196
200,14176
201,14164
202,14135
203,14214
204,14168
205,14131
206,14123
207,14134
208,14653
209,14299
210,14158
211,14152
212,14198
213,14140
214,23783
215,14282
216,14901
217,14660
218,14666
219,14717
220,14665
221,14680
222,14698
223,14642
224,33140
225,27538
226,14285
227,14223
228,14128
229,14210
230,14155
231,15082
232,14723
233,14734
234,14628
235,14652
236,14672
237,14254
238,14047
239,14149
240,15008
241,15968
242,14755
243,14730
244,15612
245,15690
246,15321
247,15294
248,15268
249,14830
250,14616
251,14727
252,14646
253,14730
254,14657
255,15231
256,14809
257,14802
258,14768
259,14690
260,14743
261,14917
262,14488
263,14199
264,14162
265,14137
266,14831
267,14702
268,14691
