iteration,value_ns
1,40888
2,40915
3,55658
4,41154
5,41064
6,40944
7,40977
8,40896
9,41108
10,49381
11,41093
12,40904
13,40952
14,40904
15,40891
16,40880
17,40899
18,40870
19,40917
20,40876
21,56712
22,41348
23,41106
24,40941
25,40960
26,40915
27,40929
28,52501
29,41217
30,41149
31,40988
32,40957
33,40919
34,40908
35,40920
36,40982
37,40970
38,40966
39,57603
40,41499
41,41068
42,41011
43,41000
44,40970
45,41124
46,51448
47,41320
48,40997
49,40916
50,40936
51,40957
52,40904
53,40997
54,40888
55,40858
56,40874
57,60286
58,41635
59,41031
60,40920
61,40944
62,40886
63,40939
64,51272
65,41240
66,41115
67,41048
68,40991
69,40939
70,40883
71,40926
72,40965
73,40866
74,40880
75,40876
76,41608
77,41087
78,41104
79,40934
80,40989
81,40992
82,40923
83,41322
84,41058
85,40957
86,41004
87,40949
88,40961
89,40922
90,40901
91,40893
92,41040
93,40981
94,41656
95,41772
96,40907
97,40975
98,40905
99,40898
100,40915
101,41190
102,41063
103,40947
104,40900
105,40837
106,40880
107,40861
108,40866
109,40863
110,40861
111,40914
112,59017
113,41154
114,41038
115,40965
116,40979
117,40994
118,41770
119,52238
120,41001
121,40912
122,40917
123,40955
124,40831
125,40851
126,40868
127,40847
128,40883
129,40993
130,59200
131,41129
132,41032
133,40902
134,40983
135,40914
136,40891
137,51019
138,41045
139,40911
140,40869
141,40882
142,40842
143,40866
144,40818
145,40865
146,40826
147,40850
148,59620
149,41201
150,41016
151,41021
152,41012
153,41126
154,41031
155,57606
156,41085
157,40930
158,40970
159,40906
160,40871
161,40904
162,40936
163,40897
164,40881
165,40857
166,62533
167,41177
168,41011
169,40963
170,40891
171,40955
172,40958
173,52016
174,41015
175,40946
176,40919
177,40883
178,40870
179,40854
180,41051
181,40992
182,40909
183,40808
184,62130
185,41172
186,41134
187,41038
188,40967
189,40964
190,40949
191,51012
192,41036
193,40986
194,40908
195,40878
196,40855
197,41014
198,40952
199,40874
200,40902
201,40911
202,57477
203,41117
204,41070
205,40971
206,40935
207,40897
208,40905
209,51003
210,41104
211,40955
212,40861
213,41019
214,40871
215,40851
216,40865
217,40913
218,40861
219,40868
220,58871
221,41381
222,41693
223,41117
224,40931
225,41043
226,40953
227,52301
228,41185
229,40990
230,40944
231,40870
232,40928
233,40862
234,40925
235,40906
236,40913
237,40883
238,57206
239,41415
240,41019
241,40953
242,41015
243,40966
244,40963
245,50482
246,41257
247,40987
248,40925
249,40942
250,40871
251,40965
252,40965
253,40899
254,40947
255,40949
256,57750
257,41420
258,41039
259,40917
260,40958
261,40995
262,40972
263,52049
264,41304
265,41642
266,41676
267,41667
268,41639
269,41595
270,40917
271,41103
272,41671
273,40977
274,60620
275,41538
276,41048
277,41644
278,41018
279,40912
280,40968
281,51110
282,41267
283,40950
284,40926
285,40913
286,40944
287,40920
288,40982
289,40825
290,40894
291,40939
292,56888
293,41780
294,41131
295,41016
296,41008
297,40990
298,40956
299,40928
300,41369
301,40960
302,41011
303,40963
304,40905
305,40896
306,40911
307,40901
308,40881
309,40876
310,40886
311,41819
312,41109
313,40982
314,40915
315,40997
316,41091
317,40975
318,41286
319,40991
320,40917
321,40918
322,40894
323,40931
324,40860
325,40885
326,40859
327,40905
328,40966
329,61760
330,41239
331,41095
332,40921
333,40990
334,40920
335,40938
336,41312
337,41003
338,40898
339,40827
340,40851
341,40821
342,40882
343,40824
344,40844
345,40825
346,40872
347,58232
348,41155
349,41003
350,41019
351,40918
352,40911
353,40947
354,51044
355,41018
356,40891
357,40879
358,40893
359,40854
360,40888
361,40929
362,40885
363,40851
364,40832
365,62733
366,41280
367,41072
368,41054
369,41014
370,40979
371,41004
372,50737
373,40990
374,40905
375,40987
376,41017
377,40895
378,40871
379,40880
380,40807
381,40880
382,40954
383,56305
384,41200
385,40956
386,40945
387,40936
388,40953
389,41008
390,50792
391,41154
392,40959
393,40849
394,40880
395,41067
396,40940
397,40940
398,40898
399,40922
400,40896
401,57925
402,41267
403,41124
404,41189
405,40981
406,41063
407,41015
408,51333
409,41150
410,40959
411,40972
412,40864
413,40868
414,40887
415,40861
416,40868
417,40934
