iteration,value_ns
1,126436
2,126601
3,161116
4,132211
5,131789
6,142315
7,131498
8,131490
9,143500
10,161129
11,132305
12,131914
13,154552
14,142847
15,139691
16,126441
17,144728
18,126873
19,136555
20,131903
21,122123
22,153107
23,131395
24,131745
25,160787
26,135347
27,132321
28,123219
29,121947
30,121717
31,121794
32,137764
33,122664
34,122040
35,133477
36,122118
37,122022
38,136592
39,126563
40,161670
41,132027
42,131430
43,150521
44,126474
45,126535
46,126363
47,166034
48,144543
49,126722
50,153946
51,131786
52,152209
53,121960
54,138591
55,122769
56,122265
57,133584
58,153541
59,131726
60,131843
61,142048
62,150470
63,122173
64,122085
65,131920
66,121905
67,121638
68,137106
69,144254
70,127298
71,126820
72,136514
73,136978
74,134882
75,126455
76,126393
77,143667
78,139352
79,122275
80,131735
81,122190
82,121945
83,121790
84,121922
85,137116
86,121945
87,121826
88,132288
89,122242
90,121915
91,138044
92,126423
93,144436
94,126767
95,150787
96,132140
97,131661
98,131623
99,131572
100,180533
101,132233
102,165980
103,131777
104,131883
105,140530
106,126532
107,145902
108,127093
109,126679
110,136400
111,126809
112,126669
113,126476
114,145853
115,127444
116,126609
117,158333
118,126798
119,138459
120,121598
121,121838
122,154690
123,127264
124,138011
125,161045
126,131719
127,139732
128,126325
129,160956
130,132378
131,141110
132,148696
133,126642
134,152658
135,126679
136,160694
137,132249
138,142908
139,137021
140,126846
141,126675
142,126420
143,126554
144,144918
145,126634
146,145237
147,122040
148,122008
149,121910
150,154410
151,149903
152,132429
153,142898
154,147703
155,122073
156,122043
157,153602
158,148958
159,132605
160,131559
161,151909
162,126846
163,126583
164,133886
165,121943
166,138660
167,122450
168,121931
169,132307
170,122155
171,121756
172,121946
173,121734
174,157303
175,143127
176,151561
177,127000
178,126663
179,138697
180,121842
181,138382
182,122481
183,122187
184,134496
185,122297
186,121989
187,121972
188,121933
189,139274
190,122385
191,121994
192,132452
193,122319
194,151814
195,131443
196,131360
197,161042
198,136899
199,133093
200,122168
201,121986
202,135194
203,126623
204,144190
205,127327
206,138776
207,131340
208,121938
209,121765
210,121930
211,121799
212,171118
213,132620
214,143444
215,131946
216,144163
217,126732
218,126458
219,146437
220,136522
221,121988
222,149478
223,126395
224,126297
225,126674
226,144745
227,127380
228,126776
229,136325
230,142710
231,142733
232,142104
233,131486
234,185597
235,143389
236,145120
237,143939
238,135104
239,121860
240,121801
241,157798
242,126954
243,148272
244,122589
245,121771
246,121913
247,136271
248,157404
249,132262
250,131855
251,142194
252,131991
253,132161
254,131822
255,150052
256,132268
257,131616
258,149570
259,136354
260,122059
261,121873
262,135709
263,145645
264,127221
265,137756
266,131661
267,121826
268,121976
269,121882
270,135064
271,162686
272,132373
273,161074
274,126809
275,126545
276,137686
277,121796
278,154257
279,127031
280,126721
281,135556
282,126506
283,126631
284,126506
285,142627
286,127183
287,126968
288,136131
289,144159
290,131787
291,143353
292,126556
293,144968
294,127032
295,126622
296,135737
297,126758
298,126563
299,126571
300,143140
301,143339
302,132018
303,141048
304,131968
305,149826
306,138456
307,126612
308,173059
309,144280
310,153084
311,127003
312,126658
313,138558
314,121893
315,158466
316,126880
317,152239
318,139017
319,139767
320,143247
321,126485
322,153960
323,122281
324,122001
325,131782
326,122003
327,121743
328,137335
329,142842
330,128084
331,135621
332,131254
333,122138
334,121920
335,121778
336,121785
337,151501
338,127257
339,126975
340,136327
341,126986
342,126579
343,126671
344,137706
345,139443
346,122140
347,122026
348,148096
349,126612
350,136206
351,122083
352,135517
353,123277
354,122133
355,122056
356,146894
357,126693
358,126612
359,126537
360,143855
361,127395
362,126693
363,145273
364,122137
365,122074
366,121897
367,137749
368,143699
369,144233
370,150954
371,127126
372,126772
373,126536
374,136217
375,138668
376,122561
377,122157
378,133012
379,122105
380,121867
381,135619
382,126653
383,144374
384,126995
385,140362
386,142046
387,131966
388,142842
389,137020
390,155550
391,127276
392,126708
393,146575
394,136558
395,139473
396,131566
397,131500
398,150476
399,131844
400,142181
401,132055
402,131736
403,131597
404,144456
405,144656
406,126824
407,126651
408,159634
409,126402
410,126427
411,126746
412,157329
413,132378
414,131694
415,141788
416,131810
417,131734
418,138998
419,139876
420,150868
421,131765
422,141692
423,131963
424,131630
425,131728
426,131599
427,160565
428,127045
429,158562
430,127080
431,126698
432,133897
433,121814
434,190152
435,127861
436,126965
437,146814
438,122543
439,121760
440,121792
441,122027
442,141855
443,122053
444,131210
445,122709
446,121852
447,121828
448,121978
449,141031
450,122511
451,122058
452,132360
453,135763
454,126842
455,126574
456,126486
457,144126
458,138477
459,122056
460,131010
461,122193
462,122077
463,121901
464,121761
465,136788
466,122596
467,122121
468,131741
469,122041
470,122040
471,121944
472,121925
473,136914
474,122504
475,122182
476,129780
477,122375
478,147304
479,127276
480,126643
481,154784
482,122081
483,176934
484,132014
485,143675
486,142216
487,131511
488,150579
489,132206
490,142341
491,131803
492,141342
493,126468
494,126498
495,160709
496,144172
497,138034
498,147674
499,126514
500,126616
501,136967
502,154923
503,127502
504,126931
505,146652
506,121994
507,121977
508,121995
509,149832
510,146936
511,131730
512,153712
513,135950
514,122070
515,121841
516,121759
517,138548
518,122779
519,121876
520,146167
521,126972
522,126568
523,143574
524,131328
525,167909
526,122020
527,131864
528,122034
529,121992
530,121871
531,135042
532,157766
533,132125
534,131837
535,149398
536,137165
537,122115
538,121911
539,121957
540,159899
541,126815
542,147464
543,122182
544,121729
545,122040
546,122002
547,135869
548,122569
549,122288
550,130015
551,122068
552,122015
553,121945
554,121771
555,134908
556,138966
557,126593
558,134961
559,126829
560,137290
561,121850
562,121967
563,137537
564,135943
565,126783
566,161727
567,131549
568,131386
569,155203
570,150749
571,141911
572,149181
573,171991
574,131784
575,131776
576,143384
577,153433
578,122573
579,122010
580,162400
581,131710
582,131484
583,131815
584,149917
585,143543
586,142444
587,142236
588,131471
589,131579
590,131906
591,148086
592,132437
593,143530
594,159436
595,126897
596,126647
597,126733
598,126575
599,143962
600,126934
601,158114
602,126980
603,126625
604,162263
605,131346
606,152952
607,132575
608,141643
609,137476
610,142336
611,131444
612,131807
613,154445
614,132322
615,131862
616,142352
617,131760
618,141115
619,142710
620,168789
621,132145
622,131621
623,141446
624,131855
625,131902
626,131584
627,154737
628,149528
629,145569
630,137752
631,126836
632,126801
633,126699
634,126614
635,162251
636,126773
637,157929
638,127102
639,154179
640,148878
641,132224
642,186196
643,174670
644,141968
645,131714
646,131744
647,131486
648,167155
649,127304
650,138476
651,146936
652,126794
653,137079
654,122057
655,121903
656,165454
657,127129
658,160279
659,127073
660,126674
661,126820
662,126583
663,149877
664,127375
665,137687
666,146513
667,126700
668,153686
669,126657
670,126550
671,165345
672,131691
673,150002
674,126849
675,126411
676,126637
677,126480
678,153947
679,121899
680,122169
681,149316
682,126459
683,126712
684,126531
685,142052
686,127369
687,135970
688,146387
689,126863
690,138070
691,122093
692,134960
693,157166
694,131907
695,141995
696,167016
697,126567
698,141271
699,142121
700,142153
701,153245
702,156178
703,131918
704,155168
705,131752
706,131813
707,159797
708,137584
709,131512
710,122209
711,121966
712,121981
713,121724
714,136023
715,122574
716,122497
717,130145
718,122187
719,122099
720,121826
721,121732
722,134676
723,139221
724,127058
725,150145
726,141768
727,132011
728,131762
729,131583
730,149094
731,131616
732,161298
733,132045
734,131970
735,131804
736,131652
737,152029
738,131918
739,131770
740,141021
741,131748
742,139271
743,126680
744,160966
745,132347
746,131988
747,141895
748,131849
749,140080
750,126607
751,142007
752,127400
753,126902
754,151231
755,154383
756,131867
757,131956
758,143793
759,140578
760,122403
761,144937
762,127108
763,126777
764,126539
765,126366
766,143723
767,127341
768,126878
