iteration,value_ns
1,100451
2,100543
3,148449
4,110064
5,108297
6,122493
7,110176
8,196250
9,263847
10,260193
11,231543
12,249994
13,279385
14,245053
15,302358
16,117544
17,108721
18,108369
19,134013
20,110781
21,108432
22,120268
23,110381
24,120223
25,105625
26,104305
27,104635
28,129027
29,107029
30,104291
31,114272
32,105897
33,104150
34,117743
35,109358
36,108314
37,140382
38,106205
39,104099
40,114973
41,105820
42,104465
43,104317
44,104112
45,104535
46,122147
47,106481
48,118605
49,121134
50,110637
51,120387
52,105428
53,104284
54,104314
55,123069
56,116959
57,109129
58,120122
59,109911
60,119895
61,105506
62,104408
63,121189
64,106850
65,104448
66,104193
67,115147
68,119251
69,109657
70,108363
71,108557
72,136393
73,106939
74,104342
75,104393
76,114933
77,105558
78,104418
79,104383
80,104128
81,119883
82,106865
83,104267
84,104520
85,133485
86,110059
87,202569
88,127639
89,144064
90,111811
91,108648
92,199383
93,112155
94,104801
95,104379
96,104277
97,125540
98,107185
99,104947
100,104450
101,114899
102,106082
103,104251
104,104158
105,104071
106,104170
107,121787
108,106154
109,118373
110,220448
111,115334
112,108995
113,118370
114,104857
115,129967
116,118756
117,109218
118,120293
119,109681
120,108291
121,119953
122,105468
123,136306
124,111319
125,108879
126,118639
127,110132
128,120497
129,105305
130,104106
131,119527
132,126307
133,111041
134,108591
135,118341
136,133252
137,109816
138,108326
139,108127
140,108113
141,127548
142,120380
143,104883
144,115458
145,105828
146,118988
147,109633
148,108624
149,137887
150,107006
151,104791
152,104405
153,132477
154,110747
155,108818
156,117938
157,105080
158,122325
159,106799
160,104416
161,104436
162,132939
163,110939
164,108461
165,108386
166,117578
167,122572
168,106714
169,104515
170,126900
171,111164
172,108768
173,120493
174,104897
175,103934
176,139026
177,111348
178,108820
179,117760
180,110139
181,108325
182,108405
183,108273
184,118967
185,171500
186,109374
187,119645
188,110491
189,108495
190,108709
191,108549
192,108406
193,125839
194,111205
195,108639
196,120283
197,110453
198,118070
199,118879
200,130925
201,110429
202,223643
203,115500
204,267275
205,117075
206,108734
207,120265
208,122590
209,107209
210,104487
211,129442
212,111105
213,108478
214,116918
215,104731
216,104153
217,234164
218,117484
219,121239
220,110617
221,130466
222,101695
223,100311
224,100381
225,138496
226,106715
227,104327
228,114164
229,263717
230,117896
231,108878
232,127790
233,175995
234,124004
235,118304
236,105470
237,226296
238,112957
239,146951
240,122949
241,105369
242,138512
243,106926
244,104341
245,104226
246,104239
247,114539
248,136483
249,106417
250,104483
251,120573
252,106142
253,119222
254,109585
255,108448
256,127413
257,110963
258,108408
259,119631
260,132953
261,110652
262,130301
263,101199
264,100463
265,157321
266,109547
267,120394
268,130726
269,106467
270,115253
271,101329
272,100416
273,100512
274,131119
275,122643
276,109427
277,119368
278,109476
279,108849
280,108429
281,108493
282,125068
283,111325
284,108641
285,108636
286,137677
287,102621
288,100654
289,100520
290,100329
291,119092
292,119230
293,105141
294,121176
295,142083
296,110038
297,108598
298,130694
299,101651
300,119263
301,103019
302,100575
303,111347
304,101987
305,100550
306,100418
307,100200
308,100435
309,116198
310,103213
311,100613
312,100349
313,108755
314,102117
315,100806
316,191542
317,193123
318,186126
319,205981
320,113226
321,199154
322,217774
323,134399
324,110601
325,108661
326,130602
327,107110
328,104439
329,104202
330,104169
331,121778
332,128206
333,110612
334,108348
335,118444
336,110360
337,108496
338,108306
339,108159
340,108016
341,141812
342,105662
343,114972
344,128306
345,106444
346,115707
347,101198
348,100517
349,115032
350,103017
351,204335
352,234726
353,245229
354,269052
355,117848
356,235972
357,210111
358,225869
359,357466
360,201072
361,117231
362,108638
363,108384
364,172900
365,144277
366,111457
367,108804
368,120398
369,110378
370,108488
371,108493
372,108359
373,108217
374,127645
375,110383
376,119673
377,132150
378,110773
379,108513
380,108458
381,108263
382,130402
383,111837
384,108784
385,130607
386,121007
387,109569
388,108637
389,108590
390,108493
391,135049
392,112203
393,108807
394,150920
395,111453
396,108441
397,116935
398,104386
399,117648
400,127310
401,110571
402,119089
403,131500
404,109975
405,118561
406,104801
407,104012
408,137747
409,111366
410,108981
411,141431
412,121187
413,117157
414,101093
415,100418
416,100592
417,138679
418,105918
419,104465
420,111067
421,102170
422,100283
423,100551
424,130144
425,109271
426,128200
427,110502
428,129124
429,112922
430,101539
431,100498
432,100280
433,100453
434,100617
435,119519
436,102215
437,100414
438,110779
439,102175
440,100198
441,113940
442,105232
443,104039
444,136228
445,119995
446,105260
447,125391
448,102756
449,114650
450,104709
451,103987
452,104225
453,130895
454,102910
455,100734
456,110693
457,101853
458,100528
459,100469
460,100319
461,100022
462,133663
463,107729
464,104284
465,116437
466,113062
467,101763
468,100561
469,100359
470,100304
471,100361
472,119055
473,100914
474,100188
475,110823
476,101748
477,100385
478,100301
479,113499
480,105220
481,156865
482,121192
483,108870
484,118744
485,110070
486,108428
487,108470
488,108593
489,130480
490,111623
491,108535
492,108683
493,119884
494,109999
495,120356
496,105426
497,104294
498,121077
499,106992
500,104465
501,104497
502,133924
503,110355
504,108566
505,108573
506,119758
507,137678
508,111464
509,195779
510,129281
511,109978
512,108390
513,174264
514,133564
515,122785
516,105461
517,104752
518,130893
519,110911
520,108772
521,108638
522,108453
523,125644
524,111060
525,108771
526,121467
527,110360
528,108639
529,108604
530,108376
531,108264
532,125881
533,111408
534,108554
535,118551
536,110143
537,108528
538,108505
539,108345
540,108405
541,127896
542,110487
543,108485
544,118982
545,110084
546,108345
547,108341
548,108310
549,108346
550,126009
551,110259
552,108621
553,118720
554,110091
555,108560
556,108465
557,108328
558,108325
559,136687
560,110906
561,119190
562,133934
563,110662
564,108461
565,108651
566,108579
567,126490
568,111343
569,108899
570,108640
571,118648
572,109556
573,108412
574,108732
575,108482
576,125154
577,111264
578,108717
579,109543
580,119192
581,109553
582,108402
583,108278
584,108550
585,125385
586,111049
587,108323
588,155127
589,106964
590,118968
591,109384
592,108381
593,108432
594,127951
595,110152
596,108662
597,118976
598,110196
599,118028
600,105169
601,104297
602,104292
603,126653
604,105103
605,114871
606,127790
607,106497
608,104255
609,104090
610,104116
611,131678
612,107220
613,104404
614,134224
615,132730
616,110611
617,119844
618,120868
619,109039
620,126786
621,110792
622,119886
623,142003
624,106811
625,104410
626,104340
627,104094
628,104134
629,135908
630,110694
631,108944
632,132611
633,121518
634,109035
635,108565
636,108320
637,127093
638,111267
639,108651
640,117842
641,109829
642,108396
643,108438
644,108400
645,120388
646,127051
647,107103
648,104749
649,129797
650,111167
651,108707
652,130776
653,109108
654,108525
655,192003
656,116549
657,121079
658,110294
659,177026
660,120672
661,105220
662,128465
663,107341
664,104619
665,104664
666,117209
667,105556
668,104292
669,104390
670,104300
671,137690
672,107275
673,104426
674,136965
675,106671
676,104325
677,116512
