iteration,value_ns
1,106272
2,106666
3,106102
4,103803
5,102638
6,93731
7,93563
8,93691
9,93627
10,105249
11,89967
12,108338
13,90141
14,90098
15,89900
16,98343
17,89909
18,100397
19,99502
20,89861
21,90097
22,106805
23,90071
24,90208
25,90051
26,112220
27,93654
28,93611
29,115338
30,86707
31,86548
32,86933
33,99160
34,86744
35,86534
36,86677
37,94299
38,100189
39,90117
40,90042
41,90028
42,100780
43,99598
44,86728
45,100647
46,90063
47,98663
48,89891
49,90266
50,89898
51,90027
52,103227
53,93687
54,107157
55,93677
56,104989
57,109302
58,101316
59,89935
60,90096
61,100724
62,86605
63,86723
64,98783
65,86758
66,86715
67,86552
68,94771
69,86803
70,86783
71,86903
72,86600
73,86667
74,86747
75,96581
76,101156
77,105510
78,93666
79,108848
80,93752
81,93801
82,114765
83,86539
84,86593
85,98673
86,101228
87,90013
88,90245
89,113348
90,116018
91,93613
92,93675
93,104787
94,90044
95,104800
96,90097
97,90048
98,90072
99,98761
100,89977
101,90032
102,90077
103,90282
104,90076
105,112465
106,105366
107,90203
108,90107
109,110086
110,86826
111,86700
112,86693
113,86731
114,86740
115,86694
116,99582
117,86643
118,86833
119,86669
120,107231
121,90186
122,103123
123,93662
124,104692
125,90069
126,100280
127,99902
128,86752
129,86728
130,86760
131,108847
132,104972
133,93652
134,93629
135,93684
136,93507
137,107161
138,93587
139,93680
140,103982
141,125434
142,89889
143,90056
144,99032
145,86696
146,86687
147,113786
148,89930
149,90041
150,101640
151,108899
152,90096
153,103048
154,103310
155,90115
156,90052
157,131965
158,89948
159,90052
160,101249
161,107991
162,90147
163,90042
164,100295
165,86760
166,113672
167,106846
168,93663
169,93569
170,93739
171,101136
172,93496
173,93661
174,113844
175,86548
176,86727
177,100219
178,113996
179,90117
180,102134
181,121213
182,90128
183,90262
184,100441
185,101653
186,90001
187,143779
188,105666
189,90032
190,100513
191,90232
192,90230
193,90042
194,90281
195,89897
196,90054
197,105851
198,90094
199,90177
200,100789
201,109125
202,89860
203,90019
204,90007
205,90027
206,89911
207,105606
208,90251
209,90108
210,90043
211,101435
212,112447
213,93649
214,93675
215,93632
216,93679
217,93645
218,112624
219,93683
220,104205
221,99240
222,87034
223,100436
224,89900
225,90064
226,89993
227,102240
228,102250
229,86691
230,86710
231,86624
232,94330
233,86688
234,86591
235,86766
236,86635
237,86550
238,86713
239,115768
240,90154
241,89952
242,90064
243,106729
244,86708
245,86725
246,86723
247,86694
248,86747
249,86919
250,99459
251,86782
252,86813
253,100970
254,98312
255,89871
256,90051
257,101960
258,86713
259,86712
260,86731
261,100610
262,99817
263,89908
264,89947
265,98840
266,90001
267,89804
268,90053
269,90041
270,90059
271,104895
272,90126
273,89894
274,90101
275,97755
276,90093
277,90261
278,100555
279,86569
280,100343
281,90263
282,103403
283,90019
284,90092
285,90022
286,97675
287,89929
288,89957
289,90065
290,90030
291,101899
292,104994
293,86905
294,86816
295,86876
296,86768
297,95879
298,86704
299,86552
300,86728
301,102049
302,89923
303,104623
304,90110
