iteration,value_ns
1,96944
2,96307
3,96314
4,136283
5,93680
6,92422
7,103792
8,109308
9,97809
10,94989
11,95760
12,95969
13,114871
14,109314
15,92391
16,92000
17,102071
18,107709
19,96686
20,96025
21,96312
22,95594
23,118337
24,108540
25,93229
26,92488
27,102071
28,94120
29,92103
30,91808
31,92218
32,92489
33,109014
34,94868
35,93648
36,92011
37,102066
38,94608
39,209603
40,103134
41,96154
42,122665
43,99368
44,198491
45,111687
46,94438
47,92111
48,92747
49,92653
50,107153
51,117871
52,98640
53,96192
54,95630
55,118596
56,94781
57,96845
58,96082
59,96082
60,107871
61,111018
62,94498
63,92072
64,105852
65,111262
66,97553
67,96043
68,107140
69,92715
70,107345
71,118309
72,98963
73,95889
74,117002
75,94971
76,92142
77,92701
78,92117
79,92181
80,91741
81,115429
82,94209
83,92690
84,106280
85,108913
86,98626
87,96273
88,105606
89,93228
90,99022
91,118797
92,95134
93,92907
94,92558
95,105092
96,93863
97,92571
98,92117
99,106605
100,266981
101,105376
102,96329
103,116136
104,98168
105,96254
106,95591
107,95845
108,96780
109,128544
110,401937
111,101288
112,106471
113,96411
114,95263
115,96120
116,131809
117,95176
118,92243
119,92464
120,119710
121,98531
122,96262
123,97135
124,95457
125,95755
126,119369
127,98446
128,106996
129,104556
130,94316
131,92356
132,105070
133,89515
134,89136
135,107408
136,115941
137,98143
138,105800
139,118479
140,296240
141,104694
142,96491
143,116231
144,107764
145,167748
146,114409
147,95703
148,92834
149,92960
150,92155
151,92605
152,382565
153,119645
154,98956
155,96088
156,96189
157,97072
158,95821
159,117243
160,99895
161,96633
162,95945
163,117324
164,94754
165,106545
166,96735
167,95622
168,95248
169,115083
170,98770
171,96554
172,118129
173,107884
174,97545
175,95809
176,95317
177,95883
178,107420
179,127566
180,98363
181,96302
182,95996
183,107049
184,108842
185,92684
186,92029
187,91614
188,105356
189,234034
190,103744
191,111685
192,108938
193,109063
194,97024
195,95832
196,95685
197,117803
198,98601
199,96603
200,107938
201,119746
202,98297
203,95724
204,105378
205,92512
206,91791
207,110288
208,94745
209,92031
210,91816
211,103027
212,94030
213,105888
214,187816
215,103932
216,115600
217,110341
218,93471
219,92450
220,103587
221,272437
222,103165
223,95991
224,117188
225,98717
226,96253
227,95476
228,109275
229,97804
230,95976
231,108217
232,93438
233,92132
234,111356
235,94430
236,92521
237,92258
238,119236
239,98477
240,96599
241,95847
242,96198
243,108116
244,146963
245,114453
246,97177
247,108923
248,97687
249,105901
250,93049
251,91634
252,92315
253,91620
254,111792
255,94174
256,108037
257,106800
258,97424
259,95617
260,95563
261,105458
262,105130
263,96724
264,115515
265,97790
266,106893
267,117237
268,98014
269,95904
270,832921
271,118375
272,97462
273,95632
274,95942
275,106119
276,116172
277,94605
278,92428
279,92249
280,104096
281,92998
282,92466
283,92400
284,92155
285,91908
286,109293
287,94699
288,92705
289,92609
290,102375
291,105946
292,93057
293,91480
294,92260
295,92336
296,485892
297,106397
298,221943
299,98956
300,92663
301,114622
302,94589
303,92300
304,92577
305,120095
306,188690
307,103233
308,96116
309,107781
310,113400
311,95008
312,93218
313,91881
314,104741
315,93967
316,92269
317,167145
318,98899
319,92202
320,112765
321,94667
322,92536
323,91843
324,104831
325,94167
326,91841
327,92195
328,92116
329,108489
330,117616
331,98864
332,95841
333,107758
334,107077
335,92965
336,92400
337,92380
338,91946
339,92943
340,112361
341,94251
342,92339
343,106122
344,196506
345,103175
346,96684
347,108975
348,93017
349,117578
350,95136
351,92204
352,91798
353,104987
354,94022
355,106460
356,179057
357,99232
358,123635
359,109140
360,92710
361,92309
362,103424
363,93560
364,92101
365,92242
366,91969
367,107531
368,115850
369,98147
370,95555
371,95993
372,133966
373,104218
374,89471
375,89185
376,89267
377,89015
378,124766
379,95586
380,92444
381,92228
382,102568
383,107606
384,96539
385,254297
386,136087
387,95209
388,106352
389,96675
390,454461
391,97368
392,120874
393,109212
394,93118
395,103776
396,118980
397,97603
398,96041
399,103106
400,89168
401,88698
402,108197
403,107729
404,92758
405,106332
406,107831
407,97374
408,95797
409,95408
410,95902
411,96005
412,115694
413,98361
414,107032
415,93299
416,103400
417,111230
418,96263
419,95423
420,96137
421,105476
422,111360
423,95468
424,92531
425,92477
426,103012
427,107108
428,202046
429,99408
430,93771
431,121290
432,106568
433,92561
434,92080
435,114673
436,90704
437,89367
438,88407
439,88566
440,88387
441,119781
442,95131
443,109898
444,96338
445,118799
446,93745
447,92227
448,92845
449,107060
450,97500
451,114199
452,98251
453,106247
454,104589
455,99492
456,89182
457,88658
458,185862
459,102479
460,119440
461,98912
462,96107
463,116675
464,101319
465,105665
466,238753
467,211310
468,104510
469,105800
470,92749
471,105313
472,160070
473,98475
474,92878
475,92129
476,92026
477,114700
478,95313
479,92337
480,92038
481,105765
482,93878
483,92418
484,91909
485,106627
486,97059
487,117303
488,110837
489,93127
490,125336
491,94463
492,92400
493,93405
494,92260
495,92477
496,92020
497,109843
498,94372
499,92951
500,92685
501,103352
502,93193
503,91496
504,91960
505,92238
506,91967
507,109379
508,94328
509,108983
510,96940
511,107045
512,97204
513,422801
514,127931
515,99065
516,96802
517,134313
518,113930
519,93729
520,92656
521,92383
522,92125
523,127839
524,99928
525,96320
526,96097
527,111619
528,104830
529,109165
530,106777
531,96691
532,96079
533,121163
534,108144
535,92559
536,121216
537,98976
538,95827
539,96852
540,96706
541,97190
542,95652
543,118907
544,96456
545,108310
546,118899
547,108636
548,92908
549,106052
550,197273
551,123920
552,99080
553,107417
554,92822
555,104589
556,93924
557,107451
558,97106
559,95443
560,96057
561,116108
562,98426
563,96082
564,95645
565,106843
566,97656
567,109167
568,93478
569,92209
570,92591
571,110654
572,94851
573,92237
574,91523
575,102271
576,93866
577,92070
578,91997
579,93353
580,92677
581,110518
582,94280
583,92278
584,91957
585,115969
586,94110
587,92446
588,92308
589,91670
590,92420
591,92206
592,112839
593,94189
594,107899
595,107277
596,97561
597,96923
598,96323
599,96058
600,107317
601,108068
602,116462
603,99165
604,96992
605,116342
606,94133
607,92396
608,92633
609,108794
610,96897
611,113716
612,110218
613,92411
614,92560
615,102143
616,93441
617,92229
618,92451
619,91987
620,91960
621,92068
622,118928
623,93218
624,92961
625,101725
626,94252
627,92400
628,162803
629,97230
630,92718
631,112188
632,95000
633,160339
634,112588
635,107532
636,189515
637,566040
638,131086
639,95131
640,92543
641,93072
642,91777
643,92551
644,91789
645,202029
646,99373
647,92609
648,106515
649,94761
650,91894
651,91869
652,92106
653,91837
654,112254
655,94417
656,92316
657,92118
658,103306
659,93771
660,92360
661,92325
662,91842
663,91807
664,92072
665,112089
666,92841
667,91814
668,92094
669,116778
670,98383
671,96051
672,95385
673,95959
674,108229
675,119252
676,94657
677,91755
678,104408
679,94003
680,92071
681,92058
682,91881
683,92319
684,91820
685,112506
686,94487
687,92391
688,92454
689,230452
690,103777
691,96826
692,95958
693,95709
694,131594
695,94557
696,92077
697,91979
698,106090
699,92536
700,91795
