iteration,value_ns
1,31693
2,31667
3,31681
4,31617
5,49109
6,32488
7,31720
8,31671
9,31642
10,43687
11,30992
12,30442
13,42767
14,32214
15,31667
16,41815
17,32152
18,31674
19,31646
20,31669
21,31667
22,31654
23,31656
24,31612
25,31583
26,31688
27,31643
28,43829
29,31002
30,30430
31,30466
32,30463
33,30431
34,30396
35,44897
36,31060
37,30477
38,30452
39,30531
40,30469
41,30424
42,30466
43,30464
44,30392
45,30434
46,30486
47,47358
48,30772
49,30422
50,30448
51,30426
52,30452
53,30430
54,30426
55,42803
56,29888
57,29281
58,29338
59,29293
60,29360
61,29303
62,29366
63,29263
64,29281
65,29251
66,29314
67,61825
68,31072
69,30431
70,30412
71,30429
72,30461
73,30442
74,30413
75,30478
76,30431
77,30435
78,39289
79,30835
80,30430
81,30548
82,30392
83,30436
84,30438
85,30400
86,30456
87,30459
88,30450
89,30430
90,30432
91,30415
92,42300
93,29840
94,29332
95,29385
96,29296
97,29350
98,48922
99,30037
100,29335
101,29279
102,29319
103,29331
104,29285
105,29314
106,29295
107,29329
108,29320
109,29309
110,37011
111,29672
112,29332
113,29311
114,29292
115,29296
116,29339
117,29325
118,29312
119,29277
120,29294
121,42391
122,30981
123,43940
124,32212
125,31665
126,31632
127,31604
128,31612
129,31706
130,45809
131,32371
132,31671
133,31672
134,31621
135,43347
136,30984
137,41792
138,29852
139,29313
140,36571
141,29816
142,29271
143,29237
144,29314
145,29315
146,42279
147,30975
148,30387
149,30449
150,30391
151,30440
152,30362
153,30462
154,30425
155,30363
156,30461
157,30464
158,42079
159,29782
160,57174
161,31240
162,30458
163,30405
164,30413
165,30437
166,30409
167,30454
168,30456
169,30447
170,30421
171,50669
172,30345
173,29310
174,29249
175,29327
176,29288
177,29331
178,29340
179,29302
180,29320
181,29408
182,29297
183,42160
184,30934
185,30413
186,30405
187,30422
188,30450
189,30439
190,30466
191,58926
192,32523
193,31676
194,31616
195,42594
196,30954
197,30411
198,30526
199,30429
200,30451
201,30455
202,38478
203,30795
204,30445
205,30415
206,30469
207,30460
208,30397
209,30400
210,30392
211,30457
212,30478
213,41874
214,29829
215,29321
216,29291
217,29355
218,29315
219,29283
220,29317
221,29355
222,60190
223,31202
224,30435
225,30471
226,30441
227,30480
228,30417
229,30434
230,30430
231,30432
232,30414
233,52468
234,32665
235,31656
236,31644
237,31746
238,31653
239,31697
240,31627
241,45288
242,30965
243,41467
244,29847
245,29302
246,41766
247,43042
248,32222
249,31694
250,31613
251,31815
252,50397
253,32429
254,31683
255,31685
256,31619
257,31618
258,31698
259,31700
260,31655
261,31659
262,40328
263,32146
264,31636
265,31586
266,43381
267,30983
268,30463
269,30437
270,30434
271,30439
272,30424
273,30453
274,30421
275,30393
276,30437
277,30444
278,43642
279,43988
280,30983
281,30559
282,32632
283,31737
284,31631
285,31643
286,31710
287,31608
288,31659
289,31677
290,31662
291,31627
292,39902
293,32010
294,31680
295,31656
296,31649
297,31663
298,31623
299,31603
300,31633
301,31609
302,31680
303,31680
304,31620
305,31600
306,31632
307,31634
308,31594
309,31603
310,31589
311,50147
312,32401
313,31687
314,31673
315,31608
316,31609
317,31713
318,31638
319,31678
320,42865
321,30961
322,53056
323,32613
324,31682
325,31617
326,31653
327,31624
328,31686
329,31760
330,31695
331,31685
332,31656
333,31647
334,31632
335,31667
336,31686
337,31616
338,31688
339,31655
340,31622
341,51086
342,32533
343,31641
344,31645
345,31688
346,31658
347,31651
348,31598
349,31686
350,42858
351,43476
352,41253
353,32067
354,31681
355,31607
356,31662
357,31716
358,31578
359,31701
360,31663
361,31566
362,31689
363,31685
364,31664
365,31648
366,43402
367,30953
368,30457
369,30450
370,30478
371,46287
372,30995
373,30395
374,30415
375,30443
376,30406
377,30481
378,30423
379,30463
380,42606
381,29875
382,51202
383,31401
384,30477
385,30406
386,30358
387,30471
388,30443
389,30398
390,30477
391,41493
392,29867
393,29302
394,29315
395,29285
396,29278
397,29304
398,29315
399,29319
400,29334
401,29331
402,59875
403,31210
404,30400
405,30408
406,30507
407,30474
408,43954
409,32181
410,31658
411,31641
412,31651
413,40417
414,32025
415,31623
416,31661
417,31691
418,31621
419,31658
420,31693
421,31614
422,42407
423,42556
424,29861
425,29397
426,29320
427,29304
428,29299
429,29301
430,29288
431,29265
432,55226
433,31278
434,30492
435,30470
436,30458
437,30420
438,30444
439,30389
440,30405
441,30458
442,30467
443,60815
444,32761
445,31620
446,31717
447,31731
448,31682
449,31632
450,31679
451,42841
452,29848
453,29294
454,29324
455,29302
456,29312
457,29311
458,29302
459,29336
460,29312
461,29331
462,42310
463,29939
464,29320
465,29326
466,41869
467,30983
468,30395
469,30465
