iteration,value_ns
1,59358
2,59154
3,59205
4,59199
5,59192
6,74974
7,61576
8,61630
9,61571
10,79942
11,73607
12,59597
13,62352
14,61464
15,71376
16,62060
17,61547
18,61472
19,61412
20,61402
21,61505
22,61437
23,61450
24,61402
25,80258
26,62029
27,61845
28,61685
29,61734
30,61488
31,71419
32,61970
33,61619
34,61546
35,61492
36,71554
37,59168
38,59151
39,59063
40,59082
41,79039
42,59540
43,59323
44,59193
45,59186
46,59192
47,68851
48,59438
49,59308
50,59248
51,59168
52,72185
53,61734
54,61448
55,61467
56,61472
57,80390
58,73560
59,73551
60,61764
61,61615
62,61502
63,71832
64,61600
65,61412
66,74690
67,59327
68,59324
69,59246
70,59020
71,59031
72,91192
73,62453
74,61674
75,61636
76,61789
77,61553
78,71264
79,61722
80,61631
81,61562
82,72573
83,59136
84,59264
85,59092
86,59212
87,59013
88,77302
89,167369
90,64040
91,61749
92,83875
93,61837
94,61730
95,61676
96,73475
97,59432
98,59129
99,73502
100,61591
101,61574
102,81498
103,62074
104,61692
105,61625
106,61645
107,72054
108,61900
109,73660
110,59401
111,59236
112,59143
113,59111
114,59100
115,59079
116,59145
117,84646
118,59710
119,59237
120,59251
121,59194
122,59253
123,69738
124,59362
125,59227
126,59157
127,59207
128,59172
129,59155
130,59139
131,64956
132,63861
133,80957
134,59566
135,59394
136,59298
137,59296
138,70431
139,67100
140,57181
141,57102
142,57045
143,57019
144,56979
145,56868
146,56898
147,56910
148,69764
149,59302
150,76886
151,59465
152,59207
153,59174
154,59168
155,59248
156,69226
157,59255
158,59270
159,59061
160,72849
161,61612
162,61491
163,61472
164,61590
165,79466
166,62643
167,61830
168,72552
169,59285
170,71441
171,86888
172,74073
173,61556
174,61598
175,61428
176,61400
177,85238
178,57149
179,56939
180,56987
181,91343
182,59556
183,59231
184,59349
185,59208
186,81430
187,57420
188,57168
189,56964
190,56875
191,56974
192,56949
193,56913
194,71063
195,73291
196,78960
197,62062
198,61648
199,61596
200,61610
201,61574
202,72352
203,61726
204,72420
205,59111
206,59247
207,59211
208,73703
209,61529
210,61450
211,61428
212,80451
213,61991
214,61688
215,61684
216,61613
217,72485
218,72891
219,59309
220,59199
221,59057
222,59057
223,59103
224,59237
225,59059
226,59038
227,79455
228,60099
229,59348
230,59266
231,59214
232,59173
233,59173
234,69752
235,59397
236,59126
237,59325
238,59187
239,59360
240,59172
241,59231
242,59667
243,75471
244,60857
245,59412
246,59290
247,59156
248,59238
249,59829
250,69439
251,59303
252,59252
253,59174
254,59116
255,58978
256,59324
257,73688
258,61833
259,61601
260,82435
261,61945
262,61807
263,73060
264,59432
265,86028
266,60037
267,59191
268,59142
269,59506
270,59292
271,59163
272,59022
273,74576
274,61465
275,82261
276,62055
277,61804
278,74139
279,59346
280,59037
281,69626
282,59274
283,59129
284,59051
285,58963
286,59278
287,59163
288,59226
289,59127
290,59116
291,2847042
292,63546
293,61842
294,84166
295,62840
296,74261
297,59500
298,59448
299,71365
300,83338
301,90026
302,62136
303,61828
304,61817
305,61617
306,61663
307,61560
308,61603
309,81280
310,61934
311,61843
312,61667
313,73700
314,59465
315,69358
316,59443
317,59337
318,59211
319,59232
320,59194
321,59110
322,59177
323,65563
324,72524
325,362961
326,147008
327,62299
328,61851
329,61827
330,61755
331,61803
332,61617
333,73747
334,59244
335,82172
336,59558
337,59374
338,59352
339,74132
340,73984
341,61787
342,61518
343,61512
344,61466
345,61537
346,61534
347,61509
348,61391
349,61379
350,91660
351,59601
352,59331
353,59320
354,59254
355,59231
356,71982
357,59489
358,59243
359,59286
360,59155
361,59171
362,59059
363,59102
364,72717
365,61568
366,110340
367,62051
368,61525
369,61655
370,61424
371,72544
372,61903
373,61507
374,62772
375,61809
376,61525
377,73145
378,59254
379,59250
380,59171
381,78611
382,59497
383,59302
384,59222
385,71654
386,61915
387,84132
388,61754
389,61464
390,61543
391,61458
392,61491
393,61518
394,61435
395,72736
396,79430
397,75453
398,61632
399,61499
400,61392
401,61479
402,72660
403,199524
404,152938
405,60576
406,59381
407,59429
408,81605
409,59752
410,59275
411,59308
412,59291
413,59383
414,71282
415,59493
416,59164
417,59307
418,59148
419,59026
420,58987
421,59156
422,59187
423,72153
424,83923
425,62203
426,61920
427,61648
428,61404
429,61611
430,83094
431,59288
432,59088
433,74419
434,61443
435,61402
436,61408
437,61421
438,61331
439,80361
440,74976
441,59783
442,59308
443,59300
444,59246
445,84543
446,61872
447,61635
448,61677
449,61550
450,61481
451,73615
452,59216
453,59103
454,59150
455,77756
456,59522
457,59332
458,59214
459,59216
460,59155
461,85048
462,61787
463,61531
464,61477
465,85536
466,69427
467,59606
468,59330
469,59304
470,79404
471,59826
472,59146
473,59199
474,59064
475,58996
476,70084
477,59415
478,59274
479,59120
480,73550
481,61406
482,175435
483,61999
484,82416
485,62149
486,61789
487,165238
488,337759
489,64314
490,359384
491,154728
492,64997
493,61854
494,74108
495,61589
496,79231
497,92553
498,60043
499,59168
500,59189
501,59043
502,97212
503,61160
504,74140
505,62798
506,61828
507,61576
508,604438
509,101333
510,62248
511,61829
512,61728
513,61549
514,80882
515,112573
516,60284
517,59210
518,59185
519,75660
520,59650
521,75418
522,59610
523,80044
524,59945
525,75615
526,59509
527,59119
528,59125
529,70516
530,59509
531,59269
532,59053
533,58983
534,59091
535,59182
536,59206
537,59132
538,70397
539,113180
540,105739
541,62934
542,61714
543,61393
544,71930
545,61743
546,78608
547,61781
548,73501
549,70939
550,73104
551,72948
552,208835
553,82880
554,61956
555,61532
556,89908
557,69561
558,57228
559,56962
560,87626
561,73246
562,184683
563,102909
564,391104
565,80845
566,62318
567,74154
568,67003
569,573316
570,64590
571,73890
572,61736
573,61494
574,80037
575,73423
576,59357
577,59134
578,59052
579,59260
580,95895
581,62282
582,61754
583,61574
584,61556
585,61696
586,73806
587,61713
588,61517
589,61549
590,73215
591,59187
592,59115
593,74391
594,289514
595,67573
596,186129
597,157519
598,159748
599,62874
600,162687
601,189009
602,182435
603,182035
604,62818
605,178057
606,62005
