iteration,value_ns
1,59090
2,59009
3,58886
4,68818
5,59241
6,58996
7,58992
8,58792
9,70174
10,56671
11,56647
12,56616
13,56644
14,56628
15,90825
16,73751
17,61507
18,61330
19,61330
20,70968
21,61603
22,72490
23,58866
24,58815
25,58818
26,58873
27,58898
28,58852
29,58856
30,88621
31,61771
32,61465
33,61233
34,61300
35,61222
36,72895
37,73787
38,59569
39,58998
40,77402
41,87046
42,61709
43,61380
44,61195
45,97915
46,62102
47,61411
48,61881
49,78440
50,71427
51,61678
52,61260
53,61284
54,61271
55,61170
56,73174
57,71352
58,56697
59,56602
60,108731
61,60354
62,59015
63,58845
64,89380
65,88368
66,92501
67,78200
68,77069
69,61583
70,61357
71,61218
72,61206
73,81350
74,78873
75,62250
76,61247
77,77538
78,61640
79,86843
80,79830
81,62095
82,105569
83,60405
84,81201
85,75953
86,57013
87,92620
88,59246
89,59127
90,76698
91,59476
92,85305
93,59690
94,58837
95,58759
96,58862
97,88913
98,91958
99,77943
100,77359
101,82352
102,211456
103,71584
104,91979
105,61674
106,61347
107,231415
108,80024
109,62106
110,113131
111,91711
112,75028
113,59120
114,85914
115,98639
116,61772
117,61237
118,78023
119,91887
120,92881
121,76915
122,74573
123,85809
124,61512
125,61269
126,83071
127,56919
128,81357
129,59823
130,58847
131,59585
132,58981
133,69250
134,56800
135,56630
136,56561
137,56620
138,94552
139,60168
140,59051
141,58838
142,58995
143,58838
144,69941
145,59122
146,58886
147,58842
148,58949
149,58792
150,58806
151,58837
152,58928
153,58945
154,76320
155,59421
156,59098
157,58971
158,58844
159,58957
160,58950
161,68374
162,58935
163,59046
164,58778
165,69954
166,56586
167,56709
168,56551
169,56585
170,56593
171,90899
172,59336
173,59057
174,71368
175,61343
176,61320
177,72027
178,61355
179,61149
180,61858
181,61108
182,61067
183,61102
184,61019
185,61078
186,79406
187,62041
188,61297
189,61401
190,61248
191,61206
192,71035
193,61853
194,61331
195,61184
196,73451
197,72184
198,61434
199,61280
200,61269
201,61239
202,79864
203,61702
204,61351
205,61283
206,61237
207,61288
208,86324
209,61491
210,61071
211,61002
212,61004
213,60973
214,72752
215,70376
216,56813
217,87076
218,59688
219,59056
220,59000
221,71846
222,61444
223,72655
224,61447
225,61379
226,61356
227,61227
228,61193
229,61179
230,61200
231,61237
232,71978
233,95222
234,61619
235,61283
236,61283
237,61218
238,94027
239,61607
240,61421
241,61264
242,61175
243,72827
244,58904
245,58903
246,58764
247,58906
248,91542
249,61627
250,61219
251,61170
252,61143
253,61203
254,71929
255,61429
256,61113
257,61055
258,61072
259,61066
260,61077
261,61065
262,61066
263,79487
264,73209
265,59116
266,58994
267,58948
268,58880
269,68715
270,59129
271,58935
272,58829
273,58739
274,58831
275,58812
276,58797
277,58781
278,58880
279,75370
280,59676
281,58995
282,59076
283,58822
284,58836
285,58919
286,67975
287,59028
288,58826
289,58971
290,58751
291,58848
292,59411
293,58710
294,58861
295,58848
296,74886
297,59261
298,59115
299,59012
300,72813
301,61275
302,70986
303,61573
304,61375
305,61241
306,71610
307,58931
308,58761
309,58761
310,58771
311,58780
312,76307
313,59259
314,59140
315,59031
316,58915
317,58881
318,68692
319,59125
320,58856
321,58861
322,58807
323,58851
324,58814
325,58743
326,58694
327,58722
328,74054
329,59700
330,59598
331,59025
332,58880
333,58859
334,58825
335,68043
336,59011
337,58861
338,58919
339,58793
340,58796
341,58754
342,58785
343,58803
344,58826
345,74317
346,59168
347,59115
348,58843
349,58863
350,58962
351,68748
352,60143
353,59067
354,58939
355,58952
356,58897
357,59005
358,58947
359,58991
360,58885
361,77814
362,59329
363,59676
364,58973
365,58945
366,58937
367,69968
368,59374
369,58872
370,188525
371,61617
372,62122
373,61248
374,61257
375,82554
376,61815
377,61496
378,72456
379,58917
380,58940
381,73011
382,59063
383,59002
384,58840
385,58917
386,58874
387,58860
388,62437
389,59004
390,58837
391,77800
392,59405
393,59029
394,59000
395,58954
396,59009
397,290077
398,62702
399,62082
400,61303
401,61336
402,61312
403,84912
404,62480
405,61398
406,61334
407,61244
408,61220
409,61264
410,74537
411,61481
412,61251
413,61184
414,61215
415,61115
416,61190
417,72644
418,58844
419,79413
420,73258
421,62175
422,61430
423,61245
424,61194
425,71725
426,73191
427,73682
428,61443
429,61203
430,61236
431,61295
432,61183
433,73198
434,58868
435,76495
436,59235
437,59702
438,59080
439,73083
440,71400
441,61605
442,61327
443,61298
444,61325
445,61263
446,61284
447,61189
448,61200
449,61197
450,81027
451,61664
452,61461
453,61315
454,61245
455,61242
456,70453
457,62189
458,61265
459,61431
460,61288
461,61198
462,72853
463,59009
464,58957
465,58937
466,79007
467,59223
468,59069
469,58907
470,58916
471,58901
472,68189
473,59094
474,58814
475,59040
476,59017
477,58862
478,58914
479,58779
480,58823
481,71613
482,83694
483,61843
484,61464
485,61302
486,61332
487,61246
488,72483
489,61398
490,61201
491,61333
492,61149
493,61108
494,61103
495,61873
496,61811
497,78395
498,62415
499,72846
500,58984
501,58927
502,58852
503,58908
504,69034
505,59087
506,58865
507,58846
508,58818
509,58802
510,58775
511,58831
512,58811
513,58812
514,78059
515,59178
516,59108
517,58986
518,58925
519,59023
520,68548
521,59128
522,58935
523,73181
524,61338
525,61231
526,61197
527,61342
528,61243
529,61233
530,81474
531,61598
532,62130
533,61405
534,61301
535,61331
536,71717
537,61548
538,61225
539,61084
540,72886
541,58845
542,58821
543,58818
544,58758
545,58771
546,76910
547,59138
548,59025
549,58962
550,73756
551,61322
552,71158
553,61470
554,61185
555,61199
556,61246
557,61126
558,61195
559,61134
560,61219
561,80706
562,62023
563,61341
564,61251
565,61238
566,61342
567,85848
568,73748
569,59104
570,58927
571,58929
572,58887
573,58881
574,58884
575,58896
576,58936
577,77923
578,59316
579,59003
580,58934
581,58945
582,58869
583,69370
584,59253
585,58955
586,58844
587,58842
588,58814
589,58903
590,58844
591,58867
592,58812
593,76720
594,59614
595,59012
596,72599
597,61463
598,61333
599,71324
600,61841
601,61363
602,72998
603,58927
604,58892
605,58900
606,58915
607,58830
608,58816
609,82520
610,59670
611,58937
612,58989
613,58924
614,58839
615,68967
616,59257
617,59086
618,58949
619,59077
620,73784
621,61126
622,61197
623,61163
624,61348
625,79973
626,61750
627,73057
628,59061
629,59076
630,70585
631,81109
632,59045
633,58870
634,58880
635,58823
636,58826
637,58827
638,58823
639,58782
640,58800
641,105328
642,59360
643,59029
644,58965
645,70812
646,80696
647,59351
648,58890
649,58944
650,58916
651,70409
652,58984
653,59066
654,58911
655,58891
656,81929
657,59340
658,59161
659,59004
660,58901
661,72260
662,71901
663,61564
664,61175
665,61277
666,61191
667,61185
668,61180
669,61246
670,61176
671,72690
672,77985
673,59293
674,76643
675,59308
676,73716
677,71973
678,61749
679,61304
680,61302
681,61204
682,72249
683,58969
684,58794
685,58824
686,73029
687,80240
688,61905
689,61397
690,61318
691,61341
692,61290
693,88362
694,61580
695,61312
696,61286
697,61227
698,61354
699,72706
700,58873
701,58828
702,58841
703,78859
704,59109
705,59069
706,58985
707,58913
708,58940
709,69105
710,59109
711,72215
712,61389
713,61371
714,61111
715,61272
716,61249
717,73220
718,92165
719,62223
720,61406
721,61211
722,61231
723,61141
724,71739
725,72779
726,59102
727,58912
728,58837
729,58837
730,58861
731,58811
732,58812
733,58859
734,78549
735,59302
736,59100
737,58937
738,58969
739,68996
740,81251
741,59084
742,58877
743,58973
744,58789
745,59461
746,58718
747,58758
748,58728
749,58705
750,78999
751,72055
752,61795
753,61317
754,61255
755,61175
756,71987
757,61398
758,61130
759,61067
760,61037
761,61021
762,61014
763,61016
764,61009
765,78050
766,62981
767,61547
768,61347
769,61195
770,61237
771,61160
772,70631
773,61419
774,61149
775,61105
776,73372
777,58777
778,58772
779,58749
780,58735
781,58774
782,77732
783,59058
784,59248
785,58852
786,58865
787,58899
788,68940
789,59065
790,58782
791,58679
792,58676
793,58663
794,58623
795,58669
796,58663
797,58696
798,92385
799,61507
800,61416
801,61396
802,61241
803,61269
804,93195
805,61511
806,61227
807,61120
808,61124
809,61108
810,72703
811,58872
812,58733
813,78743
814,59355
815,59197
816,58974
817,58933
818,58827
819,69072
820,59232
821,58973
822,58865
823,58830
824,58769
825,58812
826,58815
827,58869
828,58825
829,76912
830,59710
831,59047
832,59148
833,58831
834,74227
835,70963
836,62140
837,61356
838,61257
839,61294
840,61157
841,61193
842,61147
843,74150
844,58984
845,91380
846,61834
847,61568
848,61320
849,61300
850,61282
851,71711
852,61536
853,61268
854,61301
855,61210
856,61202
857,61150
858,61187
859,61154
860,71916
861,77643
862,59134
863,59211
864,58945
865,58892
866,72120
867,72282
868,61466
869,61166
870,61120
871,72758
