iteration,value_ns
1,100961
2,122783
3,100395
4,135518
5,101019
6,101664
7,101861
8,128803
9,101387
10,126610
11,107760
12,117466
13,106507
14,127610
15,115334
16,134785
17,106716
18,113165
19,97523
20,138938
21,104498
22,105941
23,106276
24,106198
25,105009
26,124034
27,105656
28,122388
29,104855
30,105534
31,104061
32,135107
33,106119
34,140000
35,105758
36,104472
37,106482
38,140793
39,101042
40,101956
41,106317
42,106465
43,104550
44,124010
45,107130
46,100644
47,103990
48,101420
49,102388
50,101580
51,103092
52,101551
53,113644
54,102248
55,110852
56,97798
57,136902
58,115700
59,116163
60,105753
61,127323
62,101600
63,132638
64,103711
65,101055
66,102793
67,128506
68,100515
69,112888
70,117792
71,104478
72,118428
73,112779
74,97340
75,113162
76,103681
77,111522
78,102179
79,114310
80,114401
81,101730
82,106183
83,117204
84,106707
85,106227
86,102364
87,97676
88,102212
89,99885
90,113515
91,101610
92,102425
93,100544
94,132893
95,101628
96,137407
97,104562
98,105742
99,114805
100,119779
101,98411
102,120842
103,102499
104,102676
105,100266
106,118993
107,100760
108,110885
109,123565
110,101612
111,100260
112,101728
113,119289
114,100843
115,137008
116,101602
117,112285
118,97470
119,148965
120,107194
121,104727
122,115438
123,106635
124,106424
125,130635
126,106169
127,117342
128,106640
129,118496
130,123754
131,120678
132,115290
133,114165
134,102206
135,112682
136,98426
137,134496
138,106260
139,129432
140,99217
141,102180
142,101092
143,124787
144,102317
145,102336
146,117176
147,105721
148,105750
149,115354
150,103309
151,100786
152,111804
153,102585
154,101013
155,100952
156,121446
157,101847
158,128920
159,104750
160,119207
161,105413
162,127597
163,115101
164,112562
165,101221
166,99123
167,101648
168,126145
169,107132
170,115865
171,100435
172,101659
173,101525
174,116652
175,107429
176,106622
177,117776
178,105963
179,103110
180,100387
181,123101
182,103727
183,112414
184,100631
185,100577
186,101563
187,121690
188,102343
189,100953
190,113029
191,101248
192,100849
193,101098
194,120706
195,100308
196,110998
197,103493
198,103254
199,101907
200,118509
201,102803
202,102655
203,112542
204,114551
205,105383
206,105967
207,137817
