iteration,value_ns
1,46089
2,46198
3,46928
4,46097
5,46932
6,47130
7,46034
8,46169
9,47035
10,46005
11,86493
12,48184
13,59316
14,47971
15,48601
16,46211
17,48755
18,48094
19,44491
20,58277
21,48606
22,47873
23,58547
24,48161
25,47887
26,47841
27,49629
28,122471
29,48970
30,47886
31,47880
32,47899
33,48832
34,47938
35,49058
36,48000
37,47884
38,47861
39,47143
40,46115
41,70816
42,48180
43,47878
44,47987
45,49016
46,60217
47,81313
48,46854
49,45996
50,45887
51,66087
52,46171
53,46082
54,46777
55,46142
56,46463
57,44229
58,47098
59,48228
60,48833
61,60135
62,46109
63,46020
64,58510
65,46051
66,59318
67,46191
68,46383
69,46191
70,77836
71,48045
72,59405
73,47098
74,44528
75,44441
76,64391
77,47223
78,69671
79,46198
80,48107
81,46184
82,80350
83,61018
84,58186
85,48852
86,59910
87,57814
88,76991
89,46360
90,46019
91,46766
92,46141
93,45966
94,60798
95,46730
96,46317
97,48950
98,47904
99,47981
100,46111
101,58024
102,44429
103,47278
104,46090
105,46003
106,46163
107,47229
108,46110
109,44502
110,46876
111,46247
112,46035
113,46116
114,46649
115,46015
116,47085
117,46122
118,44486
119,44375
120,49094
121,47795
122,70649
123,48088
124,47795
125,47928
126,49028
127,47908
128,71612
129,48146
130,46189
131,46244
132,114739
133,57672
134,46839
135,46196
136,44601
137,44337
138,60841
139,47963
140,58830
141,57026
142,46100
143,46115
144,46837
145,46105
146,57609
147,48445
148,47801
149,47883
150,47784
151,45984
152,46029
153,46719
154,46198
155,46042
156,46065
157,46856
158,46028
159,48747
160,47874
161,58834
162,47841
163,48552
164,46292
165,46947
166,46023
167,46112
168,59620
169,48636
170,47937
171,56531
172,46246
173,45973
174,46101
175,71800
176,48139
177,47936
178,48636
179,65271
180,46130
181,46044
182,46921
183,46037
184,46820
185,46110
186,46067
187,46077
188,47117
189,46038
190,46102
191,46851
192,46051
193,46001
194,46021
195,46780
196,46036
197,46843
198,46138
199,46151
200,45892
201,47240
202,46058
203,46098
204,46760
205,48132
206,47995
207,59601
208,48789
209,48007
210,46940
211,46110
212,60382
213,47912
214,61018
215,46011
216,46762
217,47140
218,45868
219,48294
220,48596
221,47970
222,58612
223,48110
224,48085
225,47782
226,61073
227,46058
228,58774
229,48922
230,47996
231,46271
232,84230
233,48113
234,47853
235,48799
236,48101
237,46195
238,80647
239,46381
240,58895
241,48147
242,47977
243,47829
244,73924
245,48163
246,70513
247,61094
248,46215
249,45962
250,67887
251,46201
252,46026
253,48898
254,48011
255,59499
256,46066
257,46743
258,46296
259,46931
260,46258
261,48172
262,47811
263,60362
264,48119
265,59038
266,48196
267,47921
268,46373
269,47199
270,46020
271,58377
272,48810
273,47832
274,47882
275,67689
276,48104
277,47910
278,48720
279,47911
280,48024
281,86815
282,46399
283,46042
284,46997
285,45968
286,45993
287,45956
288,46953
289,45963
290,56737
291,46191
292,46220
293,48155
294,68534
295,59155
296,46267
297,46602
298,48322
299,47766
300,70963
301,59358
302,47960
303,49333
304,46402
305,46105
306,66648
307,46320
308,46288
309,46883
310,46076
311,46160
312,47940
313,62070
314,46722
315,58121
316,46191
317,46023
318,47970
319,49457
320,65228
321,58578
322,48253
323,47951
324,47775
325,69890
326,47790
327,49045
328,48948
329,59118
330,62354
331,66520
332,46058
333,46059
334,47659
335,46210
336,60258
337,48000
338,48886
339,60934
340,46801
341,46137
342,46105
343,47296
344,46960
345,46123
346,57713
347,48768
348,47803
349,47826
350,48893
351,48074
352,60694
353,60483
354,46141
355,46152
356,76654
357,47959
358,73812
359,48174
360,47944
361,46256
362,67019
363,60761
364,59504
365,48295
366,46333
367,46073
368,65578
369,46262
370,46041
371,46787
372,46165
373,46111
374,46076
375,47725
376,45996
377,57469
378,48318
379,47920
380,46172
381,66807
382,48100
383,48022
384,48555
385,47885
386,46174
387,65813
388,46281
389,58811
390,48720
391,47820
392,46293
393,46030
394,47873
395,45895
396,46863
397,46060
398,48012
399,47947
400,59240
401,49898
402,61088
403,48083
404,47916
405,47927
406,49122
407,47980
408,47806
409,46974
410,46100
411,46085
412,63735
413,46311
414,45988
415,46574
416,46117
417,46027
418,46032
419,46702
420,46015
421,55640
422,46412
423,46018
424,48071
425,67320
426,46286
427,48016
428,48709
429,46320
430,46171
431,46049
432,47006
433,46062
434,48884
435,47992
436,47877
437,47944
438,48775
439,47976
440,47156
441,47255
442,46007
443,45958
444,46907
445,45974
446,48049
447,48819
448,46361
449,45933
450,72022
451,48185
452,60555
453,48874
454,47986
455,47923
456,68533
457,61150
458,48107
459,48830
460,59931
461,46101
462,45909
463,47025
464,46138
465,46860
466,46190
467,45905
468,45995
469,47055
