iteration,value_ns
1,1819193
2,1890919
3,1715846
4,1815728
5,1835501
6,1821865
7,1794582
8,1773723
9,1714095
10,1771510
11,1774200
12,1776232
13,1765775
14,1723273
15,1729282
16,1816169
17,1843586
18,1743975
19,1761304
20,1791838
21,1770742
22,1730525
23,1788722
24,1731768
25,1762414
26,1756127
27,1741872
28,1757152
29,1722984
30,1758295
31,1704640
32,1775276
33,1801520
34,1732538
35,1753828
36,1769181
37,1790846
38,1807383
39,1815095
40,1716028
41,1790238
42,1809065
43,1767058
44,1741837
45,1812999
46,1800585
47,1754582
48,1778087
49,1742640
50,1813290
51,1681735
52,1739931
53,1759073
54,1786830
55,1767318
56,1779493
57,1736017
58,1774611
59,1772598
60,1700175
61,1778244
62,1753174
63,4573952
64,1810526
65,1812259
66,1911136
67,1774917
68,1805139
69,1803329
70,1746918
71,1663650
72,1728973
73,1671345
74,1696349
75,1710448
76,1753373
77,1739091
78,1741824
79,1681765
80,1758330
81,1639962
82,1775743
83,1771289
84,1765138
85,1767931
86,2019172
87,1705306
88,1705114
89,1758534
90,1784025
91,1754362
92,1773995
93,1713428
94,1640714
95,1815910
96,1730496
97,1773954
98,1818741
99,1720231
100,1748298
