iteration,value_ns
1,61590
2,61694
3,74229
4,59390
5,59374
6,77081
7,60397
8,59515
9,59395
10,59312
11,59459
12,59399
13,69293
14,59504
15,59321
16,59225
17,59165
18,59209
19,59078
20,59048
21,59109
22,59132
23,76686
24,59741
25,59586
26,59326
27,59302
28,59355
29,69288
30,59604
31,59266
32,59333
33,59328
34,59318
35,59352
36,59282
37,59249
38,59320
39,91941
40,62281
41,61675
42,61680
43,61639
44,61618
45,71581
46,61911
47,61707
48,61579
49,61680
50,72908
51,59301
52,59203
53,65867
54,77167
55,59973
56,59445
57,59384
58,65026
59,63894
60,59451
61,68401
62,59427
63,59276
64,63751
65,59412
66,59207
67,59122
68,59105
69,59040
70,77765
71,60388
72,59432
73,59444
74,59594
75,59376
76,59348
77,69360
78,59462
79,59187
80,59287
81,59290
82,59249
83,59200
84,59209
85,59178
86,59302
87,78521
88,65466
89,59904
90,59358
91,71234
92,57329
93,81767
94,59551
95,59255
96,59141
97,59205
98,59472
99,59264
100,59212
101,59243
102,59232
103,77713
104,59660
105,59311
106,59486
107,71722
108,57509
109,84751
110,61911
111,61592
112,61608
113,61549
114,61486
115,61627
116,61771
117,61888
118,81121
119,62288
120,61869
121,61743
122,61725
123,72608
124,84982
125,62102
126,61875
127,61771
128,73876
129,59240
130,59260
131,59266
132,59231
133,59160
134,78404
135,59628
136,59494
137,59371
138,59280
139,59348
140,69009
141,59620
142,59298
143,59259
144,59338
145,59292
146,71283
147,57322
148,57016
149,57100
150,93737
151,60040
152,59309
153,59572
154,59427
155,71936
156,67579
157,57277
158,57087
159,56950
160,56982
161,56930
162,56949
163,56964
164,56911
165,56884
166,78218
167,57606
168,57193
169,57174
170,57041
171,57036
172,57145
173,67032
174,71050
175,59518
176,59458
177,59215
178,59299
179,59193
180,59273
181,59283
182,73838
183,81631
184,62105
185,61900
186,61626
187,74515
188,69021
189,59432
190,59352
191,59302
192,72401
193,61893
194,61733
195,61602
196,61631
197,61656
198,80739
199,62109
200,61756
