iteration,value_ns
1,3034704
2,3030771
3,3033579
4,3032272
5,3035431
6,3044791
7,3062462
8,3031934
9,3031431
10,3040452
11,3087324
12,3041837
13,3036254
14,3031920
15,3039486
16,3081966
17,3037531
18,3107977
19,3032897
20,3034799
21,3068134
22,3043968
23,3091972
24,3036274
25,3037511
26,3034767
27,3059800
28,3069689
29,3059480
30,3079080
31,3041039
32,3022800
33,3030357
34,3101879
35,3033003
36,4954034
37,3101137
38,3070342
39,3043662
40,3078806
41,3087022
42,3156150
43,3030910
44,3031605
45,3261878
46,3056467
47,4006663
48,3844130
49,3121758
50,3188754
51,3113735
52,3059819
53,3037382
54,3210358
55,3058864
56,3035830
57,3069727
58,3037446
59,4578186
60,3071757
61,3074121
62,3048692
63,3105872
64,3070135
65,3041233
66,2912732
67,2941913
68,3054817
69,3040166
70,2976466
71,3025357
72,2951074
73,3024509
74,3085157
75,2954785
76,3100071
77,3075141
78,3056504
79,3019636
80,2912631
81,3045095
82,3021587
83,2918880
84,2994248
85,3028203
86,3074494
87,2952813
88,2948904
89,2906233
90,3035284
91,3027750
92,2982364
93,3085824
94,3067351
95,3099609
96,2993069
97,3096933
98,3065599
99,2965479
100,2912364
101,3090400
102,2991159
103,3003798
104,3046940
105,2972740
106,2954214
107,3091907
108,3028419
109,3134386
110,3048525
111,3004179
112,3049332
113,3011676
114,3037202
115,3050631
116,2902586
117,3010663
118,3039412
119,3080715
120,2957210
121,2983692
122,2910208
123,3020390
124,3066788
125,2978868
126,3137839
127,3029207
128,3014269
129,2994348
130,2950085
131,3071419
132,2913208
133,2912005
134,3038764
135,3065172
136,3038542
137,2960286
138,2910316
139,2968136
140,3105844
141,3034539
142,3057510
143,3086144
144,3120195
145,3079444
146,3013640
147,3027926
148,3079358
149,2899369
150,2956182
151,3030062
152,3140937
153,3006336
154,2893874
155,2910035
156,2921651
157,3078260
158,2965372
159,3052476
160,3079639
161,3055732
162,3101319
163,2943463
164,3044151
165,3005138
166,3043850
167,3073484
168,2955363
169,3016553
170,2965194
171,2944864
172,2988307
173,3017109
174,3008292
175,3094533
176,3046594
177,3098340
178,3054449
179,3012281
180,2942348
181,3056659
182,2903141
183,2946133
184,3084986
185,3074977
186,2985068
187,2913316
188,2994228
189,2934452
190,3073039
191,2938025
192,3078646
193,3025611
194,3060209
195,3106797
196,3021842
197,3086319
198,3056934
199,2969720
200,3041971
